Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Jacky Jacky,Cropping,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DON,23.708263108634856,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DON,0.08878839302229917,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DIP,3.487198330619172,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DIP,0.3523201062210415,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DIP,0.001322753060942639,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DOP,14.207282442193339,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DOP,1.4497203881102645,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DOP,0.005165246402461963,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Conservation,FS,32.377314893556736,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Cropping,FS,0.003340013575400733,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Forestry,FS,0.17846901211370766,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Grazing,FS,0.4257317864405008,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Horticulture,FS,0.0028634245392631865,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Stream,FS,1.6029486133358695,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Urban + Other,FS,0.0324398179817212,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,PN,165.90154381911364,Manag_Unit_48,t/yr
