Region,Basin,BasinScale,Constituent,PercentReduction,Units
BM,Kolan,Manag_Unit_48,FS,0.20169648566801945,%
BM,Mary,Manag_Unit_48,FS,6.879812608801508,%
BU,Belyando,Manag_Unit_48,FS,0.028274699050612667,%
BU,Black,Manag_Unit_48,FS,0.001613548647182345,%
BU,Bowen Bogie,Manag_Unit_48,FS,1.8524279540194435,%
BU,Burdekin Delta,Manag_Unit_48,FS,2.599915334119007,%
BU,Cape Campaspe,Manag_Unit_48,FS,0.026659635886126017,%
BU,Don,Manag_Unit_48,FS,0.826153411843308,%
BU,East Burdekin,Manag_Unit_48,FS,3.3044580027296844,%
BU,Haughton,Manag_Unit_48,FS,2.1798503625618215,%
BU,Ross,Manag_Unit_48,FS,0.42872412059047393,%
BU,Suttor,Manag_Unit_48,FS,0.3596342378145995,%
BU,Upper Burdekin,Manag_Unit_48,FS,0.44012492734091324,%
CY,Endeavour,Manag_Unit_48,FS,1.4931472252192175,%
CY,Jacky Jacky,Manag_Unit_48,FS,0.0,%
CY,Jeannie,Manag_Unit_48,FS,0.0,%
CY,Lockhart,Manag_Unit_48,FS,0.0,%
CY,Normanby,Manag_Unit_48,FS,0.0514200490995351,%
CY,Olive Pascoe,Manag_Unit_48,FS,0.0,%
CY,Stewart,Manag_Unit_48,FS,0.0,%
FI,Boyne,Manag_Unit_48,FS,0.005418660731674772,%
FI,Calliope,Manag_Unit_48,FS,1.5297899256645955,%
FI,Comet,Manag_Unit_48,FS,0.26879151735638146,%
FI,Dawson,Manag_Unit_48,FS,0.3264506394386026,%
FI,Fitzroy,Manag_Unit_48,FS,19.434733149974726,%
FI,Isaac,Manag_Unit_48,FS,0.6714891524003942,%
FI,Mackenzie,Manag_Unit_48,FS,0.13090121680346387,%
FI,Nogoa,Manag_Unit_48,FS,0.172886116091374,%
FI,Shoalwater,Manag_Unit_48,FS,1.640534641397968e-08,%
FI,Styx,Manag_Unit_48,FS,0.028541741874664482,%
FI,Theresa,Manag_Unit_48,FS,2.273240817178597,%
FI,Water Park,Manag_Unit_48,FS,0.008236582407088763,%
MW,O-Connell,Manag_Unit_48,FS,3.627223107656441,%
MW,Pioneer,Manag_Unit_48,FS,0.37778395527981673,%
MW,Plane,Manag_Unit_48,FS,0.26560165518228207,%
MW,Proserpine,Manag_Unit_48,FS,1.5724350747640792,%
WT,Barron,Manag_Unit_48,FS,0.0011533981105896578,%
WT,Daintree,Manag_Unit_48,FS,0.0,%
WT,Johnstone,Manag_Unit_48,FS,0.07635993682077986,%
WT,Lower Herbert,Manag_Unit_48,FS,3.503806734081538,%
WT,Mossman,Manag_Unit_48,FS,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,FS,0.08662366253014343,%
WT,Murray,Manag_Unit_48,FS,0.39909624766667945,%
WT,Tully,Manag_Unit_48,FS,0.03568697924546954,%
WT,Upper Herbert,Manag_Unit_48,FS,0.0,%
BM,Baffle,Manag_Unit_48,PN,0.037354109723839186,%
BM,Burnett,Manag_Unit_48,PN,0.2838959361428129,%
BM,Burrum,Manag_Unit_48,PN,1.396193409194081,%
BM,Kolan,Manag_Unit_48,PN,0.5735782955709967,%
BM,Mary,Manag_Unit_48,PN,4.649879082135852,%
BU,Belyando,Manag_Unit_48,PN,0.06307121222906392,%
BU,Black,Manag_Unit_48,PN,0.01165062131309526,%
BU,Bowen Bogie,Manag_Unit_48,PN,2.4748472665728656,%
BU,Burdekin Delta,Manag_Unit_48,PN,4.572133927573101,%
BU,Cape Campaspe,Manag_Unit_48,PN,0.06147129749104121,%
BU,Don,Manag_Unit_48,PN,1.6061292539492615,%
BU,East Burdekin,Manag_Unit_48,PN,5.33311568325309,%
BU,Haughton,Manag_Unit_48,PN,4.530673111810291,%
BU,Ross,Manag_Unit_48,PN,0.7349048108646256,%
BU,Suttor,Manag_Unit_48,PN,0.5538461128383407,%
BU,Upper Burdekin,Manag_Unit_48,PN,1.3807445628157866,%
CY,Endeavour,Manag_Unit_48,PN,0.4261138672184539,%
CY,Jacky Jacky,Manag_Unit_48,PN,0.0,%
CY,Jeannie,Manag_Unit_48,PN,0.0,%
CY,Lockhart,Manag_Unit_48,PN,0.0,%
CY,Normanby,Manag_Unit_48,PN,0.07285872171160508,%
CY,Olive Pascoe,Manag_Unit_48,PN,0.0,%
CY,Stewart,Manag_Unit_48,PN,0.0,%
FI,Boyne,Manag_Unit_48,PN,0.01180942945643004,%
FI,Calliope,Manag_Unit_48,PN,3.2210649816580776,%
FI,Comet,Manag_Unit_48,PN,0.6530641905436715,%
FI,Dawson,Manag_Unit_48,PN,0.9682573167164721,%
FI,Fitzroy,Manag_Unit_48,PN,22.669658991403168,%
FI,Isaac,Manag_Unit_48,PN,3.2409727115801914,%
FI,Mackenzie,Manag_Unit_48,PN,0.6829983197404191,%
FI,Nogoa,Manag_Unit_48,PN,0.7313411109294361,%
FI,Shoalwater,Manag_Unit_48,PN,5.5098510860894183e-08,%
FI,Styx,Manag_Unit_48,PN,0.0806627944943064,%
FI,Theresa,Manag_Unit_48,PN,5.643645987397079,%
FI,Water Park,Manag_Unit_48,PN,0.010843303686291899,%
MW,O-Connell,Manag_Unit_48,PN,3.0148750257819343,%
MW,Pioneer,Manag_Unit_48,PN,1.065279088531929,%
MW,Plane,Manag_Unit_48,PN,1.018934486209149,%
MW,Proserpine,Manag_Unit_48,PN,1.0623727973473722,%
WT,Barron,Manag_Unit_48,PN,0.0016091308973379002,%
WT,Daintree,Manag_Unit_48,PN,0.0,%
WT,Johnstone,Manag_Unit_48,PN,0.13088168176289602,%
WT,Lower Herbert,Manag_Unit_48,PN,2.4269349785835685,%
WT,Mossman,Manag_Unit_48,PN,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,PN,0.102359188165545,%
WT,Murray,Manag_Unit_48,PN,0.8144642647106924,%
WT,Tully,Manag_Unit_48,PN,0.10240141459447356,%
WT,Upper Herbert,Manag_Unit_48,PN,0.0,%
BM,Baffle,Manag_Unit_48,PP,0.017131296590162548,%
BM,Burnett,Manag_Unit_48,PP,0.2239779202063926,%
BM,Burrum,Manag_Unit_48,PP,2.0193963868427187,%
BM,Kolan,Manag_Unit_48,PP,0.5544444057778274,%
BM,Mary,Manag_Unit_48,PP,5.42561799597342,%
BU,Belyando,Manag_Unit_48,PP,0.03374339820613478,%
BU,Black,Manag_Unit_48,PP,0.010337820708713658,%
BU,Bowen Bogie,Manag_Unit_48,PP,3.0056452687057083,%
BU,Burdekin Delta,Manag_Unit_48,PP,2.540350845772823,%
BU,Cape Campaspe,Manag_Unit_48,PP,0.039490303369211326,%
BU,Don,Manag_Unit_48,PP,1.7289585845138473,%
BU,East Burdekin,Manag_Unit_48,PP,4.323965524623026,%
BU,Haughton,Manag_Unit_48,PP,3.5341478461314857,%
BU,Ross,Manag_Unit_48,PP,0.4648511699043129,%
BU,Suttor,Manag_Unit_48,PP,0.49136111063390286,%
BU,Upper Burdekin,Manag_Unit_48,PP,1.4588160878551808,%
CY,Endeavour,Manag_Unit_48,PP,0.6850676648003855,%
CY,Jacky Jacky,Manag_Unit_48,PP,0.0,%
CY,Jeannie,Manag_Unit_48,PP,0.0,%
CY,Lockhart,Manag_Unit_48,PP,0.0,%
CY,Normanby,Manag_Unit_48,PP,0.07280795341813373,%
CY,Olive Pascoe,Manag_Unit_48,PP,0.0,%
CY,Stewart,Manag_Unit_48,PP,0.0,%
FI,Boyne,Manag_Unit_48,PP,0.007021924225237281,%
FI,Calliope,Manag_Unit_48,PP,3.2591147329598384,%
FI,Comet,Manag_Unit_48,PP,0.7349001995652161,%
FI,Dawson,Manag_Unit_48,PP,0.9002737092894884,%
FI,Fitzroy,Manag_Unit_48,PP,16.809894229958406,%
FI,Isaac,Manag_Unit_48,PP,1.548513161201851,%
FI,Mackenzie,Manag_Unit_48,PP,0.32475306254879605,%
FI,Nogoa,Manag_Unit_48,PP,0.50837330576949,%
FI,Shoalwater,Manag_Unit_48,PP,1.0752918377273583e-07,%
FI,Styx,Manag_Unit_48,PP,0.06376523205096275,%
FI,Theresa,Manag_Unit_48,PP,4.5849022195293125,%
FI,Water Park,Manag_Unit_48,PP,0.014184152021187339,%
MW,O-Connell,Manag_Unit_48,PP,2.9490329725478603,%
MW,Pioneer,Manag_Unit_48,PP,0.4851102270944792,%
MW,Plane,Manag_Unit_48,PP,0.33279578636644724,%
MW,Proserpine,Manag_Unit_48,PP,2.728530212152426,%
WT,Barron,Manag_Unit_48,PP,0.0010182678953977768,%
WT,Daintree,Manag_Unit_48,PP,0.0,%
WT,Johnstone,Manag_Unit_48,PP,0.09064436292236921,%
WT,Lower Herbert,Manag_Unit_48,PP,2.428333606062932,%
WT,Mossman,Manag_Unit_48,PP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,PP,0.042257496548198395,%
WT,Murray,Manag_Unit_48,PP,0.5172996003443902,%
WT,Tully,Manag_Unit_48,PP,0.0856583739241765,%
WT,Upper Herbert,Manag_Unit_48,PP,0.0,%
