Region,Basin,BasinScale,Constituent,PercentReduction,Units
CY,Stewart,Manag_Unit_48,FS,0.0,%
FI,Boyne,Manag_Unit_48,FS,0.00159029359892435,%
FI,Calliope,Manag_Unit_48,FS,1.6566543421419622,%
FI,Comet,Manag_Unit_48,FS,-0.14451003356140468,%
FI,Dawson,Manag_Unit_48,FS,-0.15575544890025222,%
FI,Fitzroy,Manag_Unit_48,FS,20.436427496327585,%
FI,Isaac,Manag_Unit_48,FS,0.25493713592827105,%
FI,Mackenzie,Manag_Unit_48,FS,-0.4055222896689915,%
FI,Nogoa,Manag_Unit_48,FS,0.7581820980907491,%
FI,Shoalwater,Manag_Unit_48,FS,1.6405573173977604e-08,%
FI,Styx,Manag_Unit_48,FS,0.028600707865827642,%
FI,Theresa,Manag_Unit_48,FS,2.282769983154616,%
FI,Water Park,Manag_Unit_48,FS,0.008196826365367565,%
MW,O-Connell,Manag_Unit_48,FS,3.7515466014034713,%
MW,Pioneer,Manag_Unit_48,FS,0.37598920199557156,%
MW,Plane,Manag_Unit_48,FS,0.21968384948020483,%
MW,Proserpine,Manag_Unit_48,FS,1.6017714664889258,%
WT,Barron,Manag_Unit_48,FS,0.0019385801626904402,%
WT,Daintree,Manag_Unit_48,FS,0.0,%
WT,Johnstone,Manag_Unit_48,FS,0.0790209947208387,%
WT,Lower Herbert,Manag_Unit_48,FS,3.4308053418460043,%
WT,Mossman,Manag_Unit_48,FS,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,FS,0.09312140238092834,%
WT,Murray,Manag_Unit_48,FS,0.3999843164229334,%
WT,Tully,Manag_Unit_48,FS,0.035734350543514766,%
WT,Upper Herbert,Manag_Unit_48,FS,-0.10530900727095675,%
BM,Baffle,Manag_Unit_48,PN,0.02789108840839453,%
BM,Burnett,Manag_Unit_48,PN,0.6684323746344454,%
BM,Burrum,Manag_Unit_48,PN,1.4194557391654241,%
BM,Kolan,Manag_Unit_48,PN,0.9019457665409897,%
BM,Mary,Manag_Unit_48,PN,4.452560317934771,%
BU,Belyando,Manag_Unit_48,PN,-0.08395357001399328,%
BU,Black,Manag_Unit_48,PN,0.011546638465582572,%
BU,Bowen Bogie,Manag_Unit_48,PN,2.4939080041787016,%
BU,Burdekin Delta,Manag_Unit_48,PN,4.607090770144324,%
BU,Cape Campaspe,Manag_Unit_48,PN,-0.11326518259020299,%
BU,Don,Manag_Unit_48,PN,1.6132135309843219,%
BU,East Burdekin,Manag_Unit_48,PN,5.366640861202645,%
BU,Haughton,Manag_Unit_48,PN,4.52171616731222,%
BU,Ross,Manag_Unit_48,PN,0.1659347043341052,%
BU,Suttor,Manag_Unit_48,PN,0.38819068354853786,%
BU,Upper Burdekin,Manag_Unit_48,PN,1.1602839881500737,%
CY,Endeavour,Manag_Unit_48,PN,0.4229345551030196,%
CY,Jacky Jacky,Manag_Unit_48,PN,0.0,%
CY,Jeannie,Manag_Unit_48,PN,0.0,%
CY,Lockhart,Manag_Unit_48,PN,0.0,%
CY,Normanby,Manag_Unit_48,PN,0.04594548800349911,%
CY,Olive Pascoe,Manag_Unit_48,PN,0.0,%
CY,Stewart,Manag_Unit_48,PN,0.0,%
FI,Boyne,Manag_Unit_48,PN,0.004025701822235629,%
FI,Calliope,Manag_Unit_48,PN,3.1407377463507276,%
FI,Comet,Manag_Unit_48,PN,0.28547014302439394,%
FI,Dawson,Manag_Unit_48,PN,0.3509242604194012,%
FI,Fitzroy,Manag_Unit_48,PN,23.393315427235713,%
FI,Isaac,Manag_Unit_48,PN,2.3068246298200275,%
FI,Mackenzie,Manag_Unit_48,PN,0.06315237502114839,%
FI,Nogoa,Manag_Unit_48,PN,3.0104643402590296,%
FI,Shoalwater,Manag_Unit_48,PN,5.5098782289476493e-08,%
FI,Styx,Manag_Unit_48,PN,0.0809426962835799,%
FI,Theresa,Manag_Unit_48,PN,5.9459354271552485,%
FI,Water Park,Manag_Unit_48,PN,0.010759519762969011,%
MW,O-Connell,Manag_Unit_48,PN,3.1079043187940756,%
MW,Pioneer,Manag_Unit_48,PN,1.0435765316379975,%
MW,Plane,Manag_Unit_48,PN,0.8725998165535641,%
MW,Proserpine,Manag_Unit_48,PN,1.0611356754156618,%
WT,Barron,Manag_Unit_48,PN,0.002630057815915199,%
WT,Daintree,Manag_Unit_48,PN,0.0,%
WT,Johnstone,Manag_Unit_48,PN,0.13427814013552503,%
WT,Lower Herbert,Manag_Unit_48,PN,2.4025598145562657,%
WT,Mossman,Manag_Unit_48,PN,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,PN,0.11465927061183862,%
WT,Murray,Manag_Unit_48,PN,0.8129733383224891,%
WT,Tully,Manag_Unit_48,PN,0.10254860779029154,%
WT,Upper Herbert,Manag_Unit_48,PN,-0.05203585028529553,%
BM,Baffle,Manag_Unit_48,PP,0.013636762724336267,%
