Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
BASE,FI,Fitzroy,PN,Manag_Unit_48,t/yr,557.7955550097763
BASE,FI,Fitzroy,PP,Manag_Unit_48,t/yr,327.31530629922685
BASE,FI,Isaac,DIN,Manag_Unit_48,t/yr,217.855665378164
BASE,FI,Isaac,DIP,Manag_Unit_48,t/yr,119.27577083672963
BASE,FI,Isaac,DON,Manag_Unit_48,t/yr,651.0683099723266
BASE,FI,Isaac,DOP,Manag_Unit_48,t/yr,26.35012348245853
BASE,FI,Isaac,FS,Manag_Unit_48,kt/yr,536.1691646723933
BASE,FI,Isaac,PN,Manag_Unit_48,t/yr,838.1196143479609
BASE,FI,Isaac,PP,Manag_Unit_48,t/yr,470.4851971039833
BASE,FI,Mackenzie,DIN,Manag_Unit_48,t/yr,52.278200174267965
BASE,FI,Mackenzie,DIP,Manag_Unit_48,t/yr,33.512287079583665
BASE,FI,Mackenzie,DON,Manag_Unit_48,t/yr,148.7193296355746
BASE,FI,Mackenzie,DOP,Manag_Unit_48,t/yr,7.52034077069723
BASE,FI,Mackenzie,FS,Manag_Unit_48,kt/yr,255.42618486607913
BASE,FI,Mackenzie,PN,Manag_Unit_48,t/yr,340.95562778393247
BASE,FI,Mackenzie,PP,Manag_Unit_48,t/yr,213.2041184121176
BASE,FI,Nogoa,DIN,Manag_Unit_48,t/yr,69.04525706519415
BASE,FI,Nogoa,DIP,Manag_Unit_48,t/yr,50.584610734144796
BASE,FI,Nogoa,DON,Manag_Unit_48,t/yr,201.6061755791902
BASE,FI,Nogoa,DOP,Manag_Unit_48,t/yr,11.226426623035035
BASE,FI,Nogoa,FS,Manag_Unit_48,kt/yr,486.5779857055068
BASE,FI,Nogoa,PN,Manag_Unit_48,t/yr,806.4867903442329
BASE,FI,Nogoa,PP,Manag_Unit_48,t/yr,423.4751690882984
BASE,FI,Shoalwater,DIN,Manag_Unit_48,t/yr,17.034805408915453
BASE,FI,Shoalwater,DIP,Manag_Unit_48,t/yr,11.191161494610318
BASE,FI,Shoalwater,DON,Manag_Unit_48,t/yr,67.02890704501033
BASE,FI,Shoalwater,DOP,Manag_Unit_48,t/yr,2.3402018003629443
BASE,FI,Shoalwater,FS,Manag_Unit_48,kt/yr,44.398394800039206
BASE,FI,Shoalwater,PN,Manag_Unit_48,t/yr,119.81031116967223
BASE,FI,Shoalwater,PP,Manag_Unit_48,t/yr,38.229552685989596
BASE,FI,Styx,DIN,Manag_Unit_48,t/yr,34.096341586236875
BASE,FI,Styx,DIP,Manag_Unit_48,t/yr,16.213703653756067
BASE,FI,Styx,DON,Manag_Unit_48,t/yr,79.28521250226112
BASE,FI,Styx,DOP,Manag_Unit_48,t/yr,3.5279785396000314
BASE,FI,Styx,FS,Manag_Unit_48,kt/yr,64.40211227026195
BASE,FI,Styx,PN,Manag_Unit_48,t/yr,178.9516056640539
BASE,FI,Styx,PP,Manag_Unit_48,t/yr,59.62276036951762
BASE,FI,Theresa,DIN,Manag_Unit_48,t/yr,36.81609074780787
BASE,FI,Theresa,DIP,Manag_Unit_48,t/yr,24.329932756793703
BASE,FI,Theresa,DON,Manag_Unit_48,t/yr,82.6924696254024
BASE,FI,Theresa,DOP,Manag_Unit_48,t/yr,5.662734302760216
BASE,FI,Theresa,FS,Manag_Unit_48,kt/yr,113.79457904779964
BASE,FI,Theresa,PN,Manag_Unit_48,t/yr,241.0172090801862
BASE,FI,Theresa,PP,Manag_Unit_48,t/yr,82.68024034625044
BASE,FI,Water Park,DIN,Manag_Unit_48,t/yr,49.65494381436434
BASE,FI,Water Park,DIP,Manag_Unit_48,t/yr,22.274074280634533
BASE,FI,Water Park,DON,Manag_Unit_48,t/yr,114.33721870587812
BASE,FI,Water Park,DOP,Manag_Unit_48,t/yr,5.43884740794689
BASE,FI,Water Park,FS,Manag_Unit_48,kt/yr,12.106417799415954
BASE,FI,Water Park,PN,Manag_Unit_48,t/yr,65.0716853610427
BASE,FI,Water Park,PP,Manag_Unit_48,t/yr,16.247315873408965
BASE,MW,O-Connell,DIN,Manag_Unit_48,t/yr,165.7786638634991
BASE,MW,O-Connell,DIP,Manag_Unit_48,t/yr,34.09276835946736
BASE,MW,O-Connell,DON,Manag_Unit_48,t/yr,580.456784953177
BASE,MW,O-Connell,DOP,Manag_Unit_48,t/yr,14.498435464059526
BASE,MW,O-Connell,FS,Manag_Unit_48,kt/yr,237.53286327408023
BASE,MW,O-Connell,PN,Manag_Unit_48,t/yr,773.1742738379091
BASE,MW,O-Connell,PP,Manag_Unit_48,t/yr,201.53570217768007
BASE,MW,Pioneer,DIN,Manag_Unit_48,t/yr,215.691857746295
BASE,MW,Pioneer,DIP,Manag_Unit_48,t/yr,37.40615768813809
BASE,MW,Pioneer,DON,Manag_Unit_48,t/yr,262.64286753910994
BASE,MW,Pioneer,DOP,Manag_Unit_48,t/yr,13.519809932667943
BASE,MW,Pioneer,FS,Manag_Unit_48,kt/yr,112.72044248416987
BASE,MW,Pioneer,PN,Manag_Unit_48,t/yr,428.22261092801216
BASE,MW,Pioneer,PP,Manag_Unit_48,t/yr,116.27700859051366
BASE,MW,Plane,DIN,Manag_Unit_48,t/yr,229.47447628167546
BASE,MW,Plane,DIP,Manag_Unit_48,t/yr,134.83019126448474
BASE,MW,Plane,DON,Manag_Unit_48,t/yr,629.3651668805155
BASE,MW,Plane,DOP,Manag_Unit_48,t/yr,36.61376564704175
BASE,MW,Plane,FS,Manag_Unit_48,kt/yr,85.92506918766456
BASE,MW,Plane,PN,Manag_Unit_48,t/yr,616.6682092558374
BASE,MW,Plane,PP,Manag_Unit_48,t/yr,105.89132692085593
BASE,MW,Proserpine,DIN,Manag_Unit_48,t/yr,183.5706887070299
BASE,MW,Proserpine,DIP,Manag_Unit_48,t/yr,41.02601949284334
BASE,MW,Proserpine,DON,Manag_Unit_48,t/yr,304.1197526216659
BASE,MW,Proserpine,DOP,Manag_Unit_48,t/yr,16.11742033924213
BASE,MW,Proserpine,FS,Manag_Unit_48,kt/yr,48.17005148861517
BASE,MW,Proserpine,PN,Manag_Unit_48,t/yr,164.71557599501057
BASE,MW,Proserpine,PP,Manag_Unit_48,t/yr,48.336443368127895
BASE,WT,Barron,DIN,Manag_Unit_48,t/yr,140.9158041019897
BASE,WT,Barron,DIP,Manag_Unit_48,t/yr,15.296225967270834
BASE,WT,Barron,DON,Manag_Unit_48,t/yr,320.3099595772615
BASE,WT,Barron,DOP,Manag_Unit_48,t/yr,15.820904735674063
BASE,WT,Barron,FS,Manag_Unit_48,kt/yr,218.76007532241792
BASE,WT,Barron,PN,Manag_Unit_48,t/yr,708.7895359433934
BASE,WT,Barron,PP,Manag_Unit_48,t/yr,241.91812693355143
BASE,WT,Daintree,DIN,Manag_Unit_48,t/yr,388.103287567667
BASE,WT,Daintree,DIP,Manag_Unit_48,t/yr,15.818760937882965
BASE,WT,Daintree,DON,Manag_Unit_48,t/yr,563.7884105133111
BASE,WT,Daintree,DOP,Manag_Unit_48,t/yr,38.58675633882833
BASE,WT,Daintree,FS,Manag_Unit_48,kt/yr,123.406671875761
BASE,WT,Daintree,PN,Manag_Unit_48,t/yr,1059.819096551986
BASE,WT,Daintree,PP,Manag_Unit_48,t/yr,192.34802972171792
BASE,WT,Johnstone,DIN,Manag_Unit_48,t/yr,960.9529724451168
BASE,WT,Johnstone,DIP,Manag_Unit_48,t/yr,78.28355518197463
BASE,WT,Johnstone,DON,Manag_Unit_48,t/yr,611.9254153895326
BASE,WT,Johnstone,DOP,Manag_Unit_48,t/yr,81.73251828023473
BASE,WT,Johnstone,FS,Manag_Unit_48,kt/yr,362.2992070744354
BASE,WT,Johnstone,PN,Manag_Unit_48,t/yr,1861.428096561972
BASE,WT,Johnstone,PP,Manag_Unit_48,t/yr,673.7702675808102
BASE,WT,Lower Herbert,DIN,Manag_Unit_48,t/yr,989.0221456297344
BASE,WT,Lower Herbert,DIP,Manag_Unit_48,t/yr,46.50145889814767
BASE,WT,Lower Herbert,DON,Manag_Unit_48,t/yr,544.5417763225412
BASE,WT,Lower Herbert,DOP,Manag_Unit_48,t/yr,41.79147945040286
BASE,WT,Lower Herbert,FS,Manag_Unit_48,kt/yr,143.37465846978867
BASE,WT,Lower Herbert,PN,Manag_Unit_48,t/yr,579.6319102118163
BASE,WT,Lower Herbert,PP,Manag_Unit_48,t/yr,127.85403670821628
BASE,WT,Mossman,DIN,Manag_Unit_48,t/yr,75.22007676052498
BASE,WT,Mossman,DIP,Manag_Unit_48,t/yr,6.469062828342405
BASE,WT,Mossman,DON,Manag_Unit_48,t/yr,86.99889869549185
BASE,WT,Mossman,DOP,Manag_Unit_48,t/yr,5.591244850802981
BASE,WT,Mossman,FS,Manag_Unit_48,kt/yr,16.82664065814076
BASE,WT,Mossman,PN,Manag_Unit_48,t/yr,60.79604072915906
BASE,WT,Mossman,PP,Manag_Unit_48,t/yr,19.071419625917827
BASE,WT,Mulgrave-Russell,DIN,Manag_Unit_48,t/yr,606.8211925261108
BASE,WT,Mulgrave-Russell,DIP,Manag_Unit_48,t/yr,34.638418398202326
BASE,WT,Mulgrave-Russell,DON,Manag_Unit_48,t/yr,528.6502233131694
BASE,WT,Mulgrave-Russell,DOP,Manag_Unit_48,t/yr,51.163370655634154
BASE,WT,Mulgrave-Russell,FS,Manag_Unit_48,kt/yr,98.37661965681346
BASE,WT,Mulgrave-Russell,PN,Manag_Unit_48,t/yr,592.6062067426404
BASE,WT,Mulgrave-Russell,PP,Manag_Unit_48,t/yr,139.13149112589377
BASE,WT,Murray,DIN,Manag_Unit_48,t/yr,336.5241614411991
BASE,WT,Murray,DIP,Manag_Unit_48,t/yr,29.15309164731043
BASE,WT,Murray,DON,Manag_Unit_48,t/yr,198.8124731305535
BASE,WT,Murray,DOP,Manag_Unit_48,t/yr,16.902141377682774
BASE,WT,Murray,FS,Manag_Unit_48,kt/yr,34.470188304241304
BASE,WT,Murray,PN,Manag_Unit_48,t/yr,161.35672789002953
BASE,WT,Murray,PP,Manag_Unit_48,t/yr,29.263445695899843
BASE,WT,Tully,DIN,Manag_Unit_48,t/yr,733.817551958426
BASE,WT,Tully,DIP,Manag_Unit_48,t/yr,24.76046294193737
BASE,WT,Tully,DON,Manag_Unit_48,t/yr,454.43908572173757
BASE,WT,Tully,DOP,Manag_Unit_48,t/yr,61.80332475123837
BASE,WT,Tully,FS,Manag_Unit_48,kt/yr,107.88271477575204
BASE,WT,Tully,PN,Manag_Unit_48,t/yr,470.5011768897851
BASE,WT,Tully,PP,Manag_Unit_48,t/yr,116.59242394292674
BASE,WT,Upper Herbert,DIN,Manag_Unit_48,t/yr,177.4661240105729
BASE,WT,Upper Herbert,DIP,Manag_Unit_48,t/yr,19.219579412071816
BASE,WT,Upper Herbert,DON,Manag_Unit_48,t/yr,475.2411721800945
BASE,WT,Upper Herbert,DOP,Manag_Unit_48,t/yr,33.577376724229026
BASE,WT,Upper Herbert,FS,Manag_Unit_48,kt/yr,252.4356245111363
BASE,WT,Upper Herbert,PN,Manag_Unit_48,t/yr,694.7939303780479
BASE,WT,Upper Herbert,PP,Manag_Unit_48,t/yr,182.13539805203317
CHANGE,BM,Baffle,DIN,Manag_Unit_48,t/yr,91.79724876430902
CHANGE,BM,Baffle,DIP,Manag_Unit_48,t/yr,23.706782124852918
