Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BU,Burdekin Delta,Manag_Unit_48,DON,0.0016748944403333873,t/yr
BU,Cape Campaspe,Manag_Unit_48,DON,2.608089319431883e-06,t/yr
BU,Don,Manag_Unit_48,DON,0.0008149677254633492,t/yr
BU,East Burdekin,Manag_Unit_48,DON,0.00014496775020357924,t/yr
BU,Haughton,Manag_Unit_48,DON,0.0034234992506836097,t/yr
BU,Ross,Manag_Unit_48,DON,0.0010184487653577092,t/yr
BU,Suttor,Manag_Unit_48,DON,-7.717273767912046e-05,t/yr
BU,Upper Burdekin,Manag_Unit_48,DON,0.00011292252137552622,t/yr
CY,Endeavour,Manag_Unit_48,DON,0.0020542937109454653,t/yr
CY,Jacky Jacky,Manag_Unit_48,DON,0.0009262692400332582,t/yr
CY,Jeannie,Manag_Unit_48,DON,0.0007717741325396087,t/yr
CY,Lockhart,Manag_Unit_48,DON,0.00018914984944582995,t/yr
CY,Normanby,Manag_Unit_48,DON,0.014048959752291717,t/yr
CY,Olive Pascoe,Manag_Unit_48,DON,0.0028426852095182766,t/yr
CY,Stewart,Manag_Unit_48,DON,0.00015389447487209796,t/yr
FI,Boyne,Manag_Unit_48,DON,9.792191629793099e-05,t/yr
FI,Calliope,Manag_Unit_48,DON,8.315715457344671e-05,t/yr
FI,Comet,Manag_Unit_48,DON,0.00033601804320277794,t/yr
FI,Dawson,Manag_Unit_48,DON,0.0005187513903668237,t/yr
FI,Fitzroy,Manag_Unit_48,DON,0.0007524737795281803,t/yr
FI,Isaac,Manag_Unit_48,DON,0.00044474083446165955,t/yr
FI,Mackenzie,Manag_Unit_48,DON,0.00015070235953185338,t/yr
FI,Nogoa,Manag_Unit_48,DON,0.0001286865262349958,t/yr
FI,Shoalwater,Manag_Unit_48,DON,3.949809562456607e-06,t/yr
FI,Styx,Manag_Unit_48,DON,8.650729842116552e-05,t/yr
FI,Theresa,Manag_Unit_48,DON,0.00014063287607962754,t/yr
FI,Water Park,Manag_Unit_48,DON,0.0002593108559583991,t/yr
MW,O-Connell,Manag_Unit_48,DON,0.0040939405309443596,t/yr
MW,Pioneer,Manag_Unit_48,DON,0.004196565047147003,t/yr
MW,Plane,Manag_Unit_48,DON,0.007354488303996402,t/yr
MW,Proserpine,Manag_Unit_48,DON,0.0032970618360227823,t/yr
WT,Barron,Manag_Unit_48,DON,0.0037114860153751057,t/yr
WT,Daintree,Manag_Unit_48,DON,0.0029279933196578634,t/yr
WT,Johnstone,Manag_Unit_48,DON,0.012019691132720717,t/yr
WT,Lower Herbert,Manag_Unit_48,DON,0.00470012727000242,t/yr
WT,Mossman,Manag_Unit_48,DON,0.0009706195808025531,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.005438702680916265,t/yr
WT,Murray,Manag_Unit_48,DON,0.0023242070473012944,t/yr
WT,Tully,Manag_Unit_48,DON,0.004904138619023242,t/yr
WT,Upper Herbert,Manag_Unit_48,DON,0.007500218719092132,t/yr
BM,Baffle,Manag_Unit_48,DOP,0.0001213914571178094,t/yr
BM,Burnett,Manag_Unit_48,DOP,0.00028960113168764414,t/yr
BM,Burrum,Manag_Unit_48,DOP,8.39788387498911e-05,t/yr
BM,Kolan,Manag_Unit_48,DOP,0.00010567890327823059,t/yr
BM,Mary,Manag_Unit_48,DOP,0.0002941100324242169,t/yr
BU,Belyando,Manag_Unit_48,DOP,1.9142530576223453e-05,t/yr
BU,Black,Manag_Unit_48,DOP,3.105725361753079e-05,t/yr
BU,Bowen Bogie,Manag_Unit_48,DOP,1.0921511427258088e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DOP,0.0002874542667672759,t/yr
BU,Cape Campaspe,Manag_Unit_48,DOP,0.00012431235442020495,t/yr
BU,Don,Manag_Unit_48,DOP,0.0002144556507684241,t/yr
BU,East Burdekin,Manag_Unit_48,DOP,5.960233214409466e-05,t/yr
BU,Haughton,Manag_Unit_48,DOP,0.0003536191669145277,t/yr
BU,Ross,Manag_Unit_48,DOP,6.131902152619896e-05,t/yr
BU,Suttor,Manag_Unit_48,DOP,0.00023719746176945896,t/yr
BU,Upper Burdekin,Manag_Unit_48,DOP,0.00025994153847409173,t/yr
CY,Endeavour,Manag_Unit_48,DOP,7.12591652756443e-05,t/yr
CY,Jacky Jacky,Manag_Unit_48,DOP,3.746324817658309e-05,t/yr
CY,Jeannie,Manag_Unit_48,DOP,2.988612735709282e-05,t/yr
CY,Lockhart,Manag_Unit_48,DOP,7.244883492900082e-06,t/yr
CY,Normanby,Manag_Unit_48,DOP,0.00038242517186059643,t/yr
CY,Olive Pascoe,Manag_Unit_48,DOP,0.00011341311181894665,t/yr
CY,Stewart,Manag_Unit_48,DOP,6.874951626922805e-06,t/yr
FI,Boyne,Manag_Unit_48,DOP,9.061361889334997e-05,t/yr
FI,Calliope,Manag_Unit_48,DOP,4.02551109876372e-05,t/yr
FI,Comet,Manag_Unit_48,DOP,0.0004082134053934405,t/yr
FI,Dawson,Manag_Unit_48,DOP,0.0014051718020444194,t/yr
FI,Fitzroy,Manag_Unit_48,DOP,0.0005814619293820172,t/yr
FI,Isaac,Manag_Unit_48,DOP,0.00016835757154607785,t/yr
FI,Mackenzie,Manag_Unit_48,DOP,8.907321299950504e-05,t/yr
FI,Nogoa,Manag_Unit_48,DOP,0.00015437941892457147,t/yr
FI,Shoalwater,Manag_Unit_48,DOP,6.034421314291846e-07,t/yr
FI,Styx,Manag_Unit_48,DOP,3.206326845338638e-05,t/yr
FI,Theresa,Manag_Unit_48,DOP,0.00010073571983453278,t/yr
FI,Water Park,Manag_Unit_48,DOP,6.180911163565449e-05,t/yr
MW,O-Connell,Manag_Unit_48,DOP,4.049570106242726e-05,t/yr
MW,Pioneer,Manag_Unit_48,DOP,0.00014078254501791429,t/yr
MW,Plane,Manag_Unit_48,DOP,0.0007877657861545747,t/yr
MW,Proserpine,Manag_Unit_48,DOP,0.0001271391442664625,t/yr
WT,Barron,Manag_Unit_48,DOP,0.0002617798093892388,t/yr
WT,Daintree,Manag_Unit_48,DOP,3.410810187012506e-05,t/yr
WT,Johnstone,Manag_Unit_48,DOP,0.001452057003096512,t/yr
WT,Lower Herbert,Manag_Unit_48,DOP,0.00015723675041508567,t/yr
WT,Mossman,Manag_Unit_48,DOP,1.5122798710615074e-05,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.000684576889904873,t/yr
WT,Murray,Manag_Unit_48,DOP,0.00020079194791588706,t/yr
WT,Tully,Manag_Unit_48,DOP,0.0009945262977850411,t/yr
WT,Upper Herbert,Manag_Unit_48,DOP,0.00015200222828283037,t/yr
BM,Baffle,Manag_Unit_48,FS,7.546921034659789e-07,kt/yr
BM,Burnett,Manag_Unit_48,FS,2.8788300886003673e-05,kt/yr
BM,Burrum,Manag_Unit_48,FS,3.178995927363706e-07,kt/yr
BM,Kolan,Manag_Unit_48,FS,1.4651934216833647e-06,kt/yr
BM,Mary,Manag_Unit_48,FS,1.1982778821401757e-05,kt/yr
BU,Belyando,Manag_Unit_48,FS,3.8226801709897865e-06,kt/yr
BU,Black,Manag_Unit_48,FS,8.567921994307092e-07,kt/yr
BU,Bowen Bogie,Manag_Unit_48,FS,5.3090726395055456e-05,kt/yr
BU,Burdekin Delta,Manag_Unit_48,FS,8.703342541389091e-07,kt/yr
BU,Cape Campaspe,Manag_Unit_48,FS,4.760539160742159e-06,kt/yr
BU,Don,Manag_Unit_48,FS,4.282522968369364e-06,kt/yr
BU,East Burdekin,Manag_Unit_48,FS,3.2999219201336197e-06,kt/yr
BU,Haughton,Manag_Unit_48,FS,2.6746294919120526e-06,kt/yr
BU,Ross,Manag_Unit_48,FS,1.6838219030106273e-06,kt/yr
BU,Suttor,Manag_Unit_48,FS,3.2380195117406425e-06,kt/yr
BU,Upper Burdekin,Manag_Unit_48,FS,9.534916445471746e-05,kt/yr
CY,Endeavour,Manag_Unit_48,FS,1.1656330211518437e-06,kt/yr
CY,Jacky Jacky,Manag_Unit_48,FS,4.151148730536628e-08,kt/yr
CY,Jeannie,Manag_Unit_48,FS,5.885687348452869e-07,kt/yr
CY,Lockhart,Manag_Unit_48,FS,9.867058534323453e-08,kt/yr
CY,Normanby,Manag_Unit_48,FS,7.596515253387583e-06,kt/yr
CY,Olive Pascoe,Manag_Unit_48,FS,5.519516004529678e-07,kt/yr
CY,Stewart,Manag_Unit_48,FS,1.0331070152253966e-07,kt/yr
FI,Boyne,Manag_Unit_48,FS,1.0226586322460646e-06,kt/yr
