Region,Basin,BasinScale,Constituent,Reduction,Units
FI,Mackenzie,Manag_Unit_48,FS,-1.9362989398839164e-08,kt/yr
FI,Nogoa,Manag_Unit_48,FS,7.911621963064164e-09,kt/yr
FI,Shoalwater,Manag_Unit_48,FS,1.3046725181690516e-16,kt/yr
FI,Styx,Manag_Unit_48,FS,4.845038192371476e-10,kt/yr
FI,Theresa,Manag_Unit_48,FS,3.614443240664495e-08,kt/yr
FI,Water Park,Manag_Unit_48,FS,1.0740594037391323e-11,kt/yr
MW,O-Connell,Manag_Unit_48,FS,2.2099246730454164e-07,kt/yr
MW,Pioneer,Manag_Unit_48,FS,9.231002204435393e-09,kt/yr
MW,Plane,Manag_Unit_48,FS,4.500073483449778e-09,kt/yr
MW,Proserpine,Manag_Unit_48,FS,1.10267480657555e-08,kt/yr
WT,Barron,Manag_Unit_48,FS,3.687527011303852e-11,kt/yr
WT,Daintree,Manag_Unit_48,FS,0.0,kt/yr
WT,Johnstone,Manag_Unit_48,FS,5.919782304440938e-09,kt/yr
WT,Lower Herbert,Manag_Unit_48,FS,8.538276385228301e-08,kt/yr
WT,Mossman,Manag_Unit_48,FS,0.0,kt/yr
WT,Mulgrave-Russell,Manag_Unit_48,FS,1.5429571034185112e-09,kt/yr
WT,Murray,Manag_Unit_48,FS,1.997987635436497e-09,kt/yr
WT,Tully,Manag_Unit_48,FS,6.105139516217643e-10,kt/yr
WT,Upper Herbert,Manag_Unit_48,FS,-3.663628696787668e-09,kt/yr
BM,Baffle,Manag_Unit_48,PN,5.701499412476588e-07,t/yr
BM,Burnett,Manag_Unit_48,PN,9.758199377639964e-05,t/yr
BM,Burrum,Manag_Unit_48,PN,1.259972944164455e-05,t/yr
BM,Kolan,Manag_Unit_48,PN,3.479379856949644e-05,t/yr
BM,Mary,Manag_Unit_48,PN,0.0008312741282378018,t/yr
BU,Belyando,Manag_Unit_48,PN,-5.714071644813856e-07,t/yr
BU,Black,Manag_Unit_48,PN,1.3246092487169865e-07,t/yr
BU,Bowen Bogie,Manag_Unit_48,PN,0.0014535538841543786,t/yr
BU,Burdekin Delta,Manag_Unit_48,PN,0.00011353778567173218,t/yr
BU,Cape Campaspe,Manag_Unit_48,PN,-3.196575072535287e-06,t/yr
BU,Don,Manag_Unit_48,PN,0.00012609341383797528,t/yr
BU,East Burdekin,Manag_Unit_48,PN,0.0001547227404345752,t/yr
BU,Haughton,Manag_Unit_48,PN,0.0002904325768134527,t/yr
BU,Ross,Manag_Unit_48,PN,2.291951942115607e-06,t/yr
BU,Suttor,Manag_Unit_48,PN,5.305850521518352e-06,t/yr
BU,Upper Burdekin,Manag_Unit_48,PN,0.00030403777893955067,t/yr
CY,Endeavour,Manag_Unit_48,PN,1.2642901186141367e-05,t/yr
CY,Jacky Jacky,Manag_Unit_48,PN,0.0,t/yr
CY,Jeannie,Manag_Unit_48,PN,0.0,t/yr
CY,Lockhart,Manag_Unit_48,PN,0.0,t/yr
CY,Normanby,Manag_Unit_48,PN,1.706907385522527e-06,t/yr
CY,Olive Pascoe,Manag_Unit_48,PN,0.0,t/yr
CY,Stewart,Manag_Unit_48,PN,0.0,t/yr
FI,Boyne,Manag_Unit_48,PN,1.949907643480723e-08,t/yr
FI,Calliope,Manag_Unit_48,PN,7.839502816774531e-05,t/yr
FI,Comet,Manag_Unit_48,PN,1.7973648948482908e-05,t/yr
FI,Dawson,Manag_Unit_48,PN,6.853907960026693e-05,t/yr
FI,Fitzroy,Manag_Unit_48,PN,0.002612542927581641,t/yr
FI,Isaac,Manag_Unit_48,PN,0.00018476823984675168,t/yr
FI,Mackenzie,Manag_Unit_48,PN,3.4260465840797375e-06,t/yr
FI,Nogoa,Manag_Unit_48,PN,5.495439511587155e-05,t/yr
FI,Shoalwater,Manag_Unit_48,PN,6.749161229890888e-13,t/yr
FI,Styx,Manag_Unit_48,PN,2.9992522782540236e-06,t/yr
FI,Theresa,Manag_Unit_48,PN,0.0002053026294016353,t/yr
FI,Water Park,Manag_Unit_48,PN,3.610117161893338e-08,t/yr
MW,O-Connell,Manag_Unit_48,PN,0.0005790269493105674,t/yr
MW,Pioneer,Manag_Unit_48,PN,9.910823719815577e-05,t/yr
MW,Plane,Manag_Unit_48,PN,0.0001319234363675567,t/yr
MW,Proserpine,Manag_Unit_48,PN,1.9885438787953546e-05,t/yr
WT,Barron,Manag_Unit_48,PN,1.786750957952184e-07,t/yr
WT,Daintree,Manag_Unit_48,PN,0.0,t/yr
WT,Johnstone,Manag_Unit_48,PN,4.920717619083158e-05,t/yr
