Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BU,Bowen Bogie,Manag_Unit_48,DON,2.7935521274370483e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DON,0.0016616875114115238,t/yr
BU,Cape Campaspe,Manag_Unit_48,DON,3.2134366659164472e-06,t/yr
BU,Don,Manag_Unit_48,DON,0.000814954537774716,t/yr
BU,East Burdekin,Manag_Unit_48,DON,0.0001367827690529618,t/yr
BU,Haughton,Manag_Unit_48,DON,0.003423422805024568,t/yr
BU,Ross,Manag_Unit_48,DON,0.0010106238581726757,t/yr
BU,Suttor,Manag_Unit_48,DON,-6.806965237151796e-05,t/yr
BU,Upper Burdekin,Manag_Unit_48,DON,0.00010761723024816851,t/yr
CY,Endeavour,Manag_Unit_48,DON,0.002054224426398566,t/yr
CY,Jacky Jacky,Manag_Unit_48,DON,0.0009262182683990128,t/yr
CY,Jeannie,Manag_Unit_48,DON,0.0007717534804393845,t/yr
CY,Lockhart,Manag_Unit_48,DON,0.0001891389647901415,t/yr
CY,Normanby,Manag_Unit_48,DON,0.014048344749837786,t/yr
CY,Olive Pascoe,Manag_Unit_48,DON,0.002842373439757148,t/yr
CY,Stewart,Manag_Unit_48,DON,0.00015389390185992227,t/yr
FI,Boyne,Manag_Unit_48,DON,8.747897383348781e-05,t/yr
FI,Calliope,Manag_Unit_48,DON,8.315709488592897e-05,t/yr
FI,Comet,Manag_Unit_48,DON,0.000300503219419889,t/yr
FI,Dawson,Manag_Unit_48,DON,0.0004914346448389722,t/yr
FI,Fitzroy,Manag_Unit_48,DON,0.000751529882846945,t/yr
FI,Isaac,Manag_Unit_48,DON,0.0004404217607648699,t/yr
FI,Mackenzie,Manag_Unit_48,DON,0.00014870796643325359,t/yr
FI,Nogoa,Manag_Unit_48,DON,8.78202819096818e-05,t/yr
FI,Shoalwater,Manag_Unit_48,DON,3.949681907452411e-06,t/yr
FI,Styx,Manag_Unit_48,DON,8.65066229903519e-05,t/yr
FI,Theresa,Manag_Unit_48,DON,0.0001157728671568819,t/yr
FI,Water Park,Manag_Unit_48,DON,0.0002592774505515242,t/yr
MW,O-Connell,Manag_Unit_48,DON,0.004091502968031097,t/yr
MW,Pioneer,Manag_Unit_48,DON,0.004076718345835306,t/yr
MW,Plane,Manag_Unit_48,DON,0.007354387274702178,t/yr
MW,Proserpine,Manag_Unit_48,DON,0.003290219682893983,t/yr
WT,Barron,Manag_Unit_48,DON,0.003099836571957984,t/yr
WT,Daintree,Manag_Unit_48,DON,0.0029279357328574522,t/yr
WT,Johnstone,Manag_Unit_48,DON,0.011903015067247934,t/yr
WT,Lower Herbert,Manag_Unit_48,DON,0.004698722537695795,t/yr
WT,Mossman,Manag_Unit_48,DON,0.0009511008741926484,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.005422012693200352,t/yr
WT,Murray,Manag_Unit_48,DON,0.002311368672026968,t/yr
WT,Tully,Manag_Unit_48,DON,0.004876696903756897,t/yr
WT,Upper Herbert,Manag_Unit_48,DON,0.007455414421194822,t/yr
BM,Baffle,Manag_Unit_48,DOP,0.00012044222113770051,t/yr
BM,Burnett,Manag_Unit_48,DOP,0.00021762403545693906,t/yr
BM,Burrum,Manag_Unit_48,DOP,8.177733542738223e-05,t/yr
BM,Kolan,Manag_Unit_48,DOP,9.47461835131312e-05,t/yr
BM,Mary,Manag_Unit_48,DOP,0.0002846241088821302,t/yr
BU,Belyando,Manag_Unit_48,DOP,1.2726425700689604e-05,t/yr
BU,Black,Manag_Unit_48,DOP,3.105722492667328e-05,t/yr
BU,Bowen Bogie,Manag_Unit_48,DOP,8.759326969977722e-06,t/yr
BU,Burdekin Delta,Manag_Unit_48,DOP,0.00028394584352816666,t/yr
BU,Cape Campaspe,Manag_Unit_48,DOP,0.00010728829643744955,t/yr
BU,Don,Manag_Unit_48,DOP,0.00021445519715642056,t/yr
BU,East Burdekin,Manag_Unit_48,DOP,5.587618089672225e-05,t/yr
BU,Haughton,Manag_Unit_48,DOP,0.00035361686580378935,t/yr
BU,Ross,Manag_Unit_48,DOP,6.105653412660322e-05,t/yr
BU,Suttor,Manag_Unit_48,DOP,0.00020952147099854402,t/yr
BU,Upper Burdekin,Manag_Unit_48,DOP,0.00023713688667965536,t/yr
CY,Endeavour,Manag_Unit_48,DOP,7.12588205339119e-05,t/yr
CY,Jacky Jacky,Manag_Unit_48,DOP,3.746225848106602e-05,t/yr
CY,Jeannie,Manag_Unit_48,DOP,2.988611988561859e-05,t/yr
CY,Lockhart,Manag_Unit_48,DOP,7.244672917753962e-06,t/yr
CY,Normanby,Manag_Unit_48,DOP,0.0003824245327090812,t/yr
CY,Olive Pascoe,Manag_Unit_48,DOP,0.00011340702931388501,t/yr
CY,Stewart,Manag_Unit_48,DOP,6.874940466087883e-06,t/yr
