Region,Basin,BasinScale,Constituent,Reduction,Units
CY,Jacky Jacky,Manag_Unit_48,DON,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DON,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DON,0.0,t/yr
CY,Normanby,Manag_Unit_48,DON,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DON,0.0,t/yr
CY,Stewart,Manag_Unit_48,DON,0.0,t/yr
FI,Boyne,Manag_Unit_48,DON,0.0,t/yr
FI,Calliope,Manag_Unit_48,DON,0.0,t/yr
FI,Comet,Manag_Unit_48,DON,0.0,t/yr
FI,Dawson,Manag_Unit_48,DON,0.0,t/yr
FI,Fitzroy,Manag_Unit_48,DON,0.0,t/yr
FI,Isaac,Manag_Unit_48,DON,0.0,t/yr
FI,Mackenzie,Manag_Unit_48,DON,0.0,t/yr
FI,Nogoa,Manag_Unit_48,DON,0.0,t/yr
FI,Shoalwater,Manag_Unit_48,DON,0.0,t/yr
FI,Styx,Manag_Unit_48,DON,0.0,t/yr
FI,Theresa,Manag_Unit_48,DON,0.0,t/yr
FI,Water Park,Manag_Unit_48,DON,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DON,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DON,0.0,t/yr
MW,Plane,Manag_Unit_48,DON,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DON,0.0,t/yr
WT,Barron,Manag_Unit_48,DON,0.0,t/yr
WT,Daintree,Manag_Unit_48,DON,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DON,0.0,t/yr
WT,Lower Herbert,Manag_Unit_48,DON,0.0,t/yr
WT,Mossman,Manag_Unit_48,DON,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.0,t/yr
WT,Murray,Manag_Unit_48,DON,0.0,t/yr
WT,Tully,Manag_Unit_48,DON,0.0,t/yr
WT,Upper Herbert,Manag_Unit_48,DON,0.0,t/yr
BM,Baffle,Manag_Unit_48,DOP,-1.4439116569064934e-14,t/yr
BM,Burnett,Manag_Unit_48,DOP,-1.0525980087550125e-14,t/yr
BM,Burrum,Manag_Unit_48,DOP,2.3669954885008338e-15,t/yr
BM,Kolan,Manag_Unit_48,DOP,-1.4689878942893606e-15,t/yr
BM,Mary,Manag_Unit_48,DOP,1.1586583544461367e-15,t/yr
BU,Belyando,Manag_Unit_48,DOP,-4.0003617549425975e-08,t/yr
BU,Black,Manag_Unit_48,DOP,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DOP,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DOP,0.0,t/yr
BU,Cape Campaspe,Manag_Unit_48,DOP,0.0,t/yr
BU,Don,Manag_Unit_48,DOP,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DOP,0.0,t/yr
BU,Haughton,Manag_Unit_48,DOP,0.0,t/yr
BU,Ross,Manag_Unit_48,DOP,0.0,t/yr
BU,Suttor,Manag_Unit_48,DOP,-3.803236345815364e-07,t/yr
BU,Upper Burdekin,Manag_Unit_48,DOP,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DOP,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DOP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DOP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DOP,0.0,t/yr
CY,Normanby,Manag_Unit_48,DOP,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DOP,0.0,t/yr
CY,Stewart,Manag_Unit_48,DOP,0.0,t/yr
FI,Boyne,Manag_Unit_48,DOP,0.0,t/yr
FI,Calliope,Manag_Unit_48,DOP,0.0,t/yr
FI,Comet,Manag_Unit_48,DOP,-9.592326932761354e-17,t/yr
FI,Dawson,Manag_Unit_48,DOP,7.183296981449725e-05,t/yr
FI,Fitzroy,Manag_Unit_48,DOP,1.8957159410173102e-06,t/yr
FI,Isaac,Manag_Unit_48,DOP,4.417701086162561e-05,t/yr
FI,Mackenzie,Manag_Unit_48,DOP,4.8596892639830655e-06,t/yr
FI,Nogoa,Manag_Unit_48,DOP,2.6312908263777443e-05,t/yr
FI,Shoalwater,Manag_Unit_48,DOP,0.0,t/yr
FI,Styx,Manag_Unit_48,DOP,0.0,t/yr
FI,Theresa,Manag_Unit_48,DOP,1.0165411198800545e-05,t/yr
FI,Water Park,Manag_Unit_48,DOP,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DOP,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DOP,0.0,t/yr
MW,Plane,Manag_Unit_48,DOP,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DOP,0.0,t/yr
WT,Barron,Manag_Unit_48,DOP,0.0,t/yr
WT,Daintree,Manag_Unit_48,DOP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DOP,6.451861724594228e-06,t/yr
WT,Lower Herbert,Manag_Unit_48,DOP,0.0,t/yr
WT,Mossman,Manag_Unit_48,DOP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0,t/yr
WT,Murray,Manag_Unit_48,DOP,0.0,t/yr
WT,Tully,Manag_Unit_48,DOP,2.37288635318104e-07,t/yr
WT,Upper Herbert,Manag_Unit_48,DOP,0.0,t/yr
BM,Baffle,Manag_Unit_48,FS,3.7932376115534796e-10,kt/yr
BM,Burnett,Manag_Unit_48,FS,4.450965696416157e-08,kt/yr
BM,Burrum,Manag_Unit_48,FS,2.21529883116105e-09,kt/yr
BM,Kolan,Manag_Unit_48,FS,2.955243639774352e-09,kt/yr
BM,Mary,Manag_Unit_48,FS,8.243927282395949e-07,kt/yr
BU,Belyando,Manag_Unit_48,FS,1.0808513140148078e-09,kt/yr
BU,Black,Manag_Unit_48,FS,1.3824758943078071e-11,kt/yr
BU,Bowen Bogie,Manag_Unit_48,FS,9.834674567339865e-07,kt/yr
BU,Burdekin Delta,Manag_Unit_48,FS,2.2627953731447785e-08,kt/yr
BU,Cape Campaspe,Manag_Unit_48,FS,1.269142406470299e-09,kt/yr
BU,Don,Manag_Unit_48,FS,3.538020961615682e-08,kt/yr
BU,East Burdekin,Manag_Unit_48,FS,1.0904453397368646e-07,kt/yr
BU,Haughton,Manag_Unit_48,FS,5.8302920676630284e-08,kt/yr
BU,Ross,Manag_Unit_48,FS,7.218950645992095e-09,kt/yr
BU,Suttor,Manag_Unit_48,FS,1.1645026791336476e-08,kt/yr
BU,Upper Burdekin,Manag_Unit_48,FS,4.196554407764931e-07,kt/yr
CY,Endeavour,Manag_Unit_48,FS,1.740461711156769e-08,kt/yr
CY,Jacky Jacky,Manag_Unit_48,FS,0.0,kt/yr
CY,Jeannie,Manag_Unit_48,FS,0.0,kt/yr
CY,Lockhart,Manag_Unit_48,FS,0.0,kt/yr
CY,Normanby,Manag_Unit_48,FS,3.906131873145568e-09,kt/yr
CY,Olive Pascoe,Manag_Unit_48,FS,0.0,kt/yr
CY,Stewart,Manag_Unit_48,FS,0.0,kt/yr
FI,Boyne,Manag_Unit_48,FS,5.5414401724599806e-11,kt/yr
FI,Calliope,Manag_Unit_48,FS,2.0384507475377236e-08,kt/yr
FI,Comet,Manag_Unit_48,FS,2.6520310914486345e-08,kt/yr
FI,Dawson,Manag_Unit_48,FS,6.955263433801519e-08,kt/yr
FI,Fitzroy,Manag_Unit_48,FS,1.3498747841453165e-06,kt/yr
FI,Isaac,Manag_Unit_48,FS,1.0411347653509514e-07,kt/yr
FI,Mackenzie,Manag_Unit_48,FS,7.79554992909747e-09,kt/yr
FI,Nogoa,Manag_Unit_48,FS,2.3407229537487714e-08,kt/yr
FI,Shoalwater,Manag_Unit_48,FS,1.304677255120623e-16,kt/yr
FI,Styx,Manag_Unit_48,FS,4.84504439115104e-10,kt/yr
FI,Theresa,Manag_Unit_48,FS,7.1506393854177e-08,kt/yr
FI,Water Park,Manag_Unit_48,FS,1.085867883574565e-11,kt/yr
MW,O-Connell,Manag_Unit_48,FS,2.3759489576923633e-07,kt/yr
MW,Pioneer,Manag_Unit_48,FS,9.993918586421083e-09,kt/yr
MW,Plane,Manag_Unit_48,FS,5.950292884450903e-09,kt/yr
MW,Proserpine,Manag_Unit_48,FS,1.757319465368094e-08,kt/yr
WT,Barron,Manag_Unit_48,FS,4.112672469602785e-11,kt/yr
WT,Daintree,Manag_Unit_48,FS,0.0,kt/yr
WT,Johnstone,Manag_Unit_48,FS,6.1731104085633126e-09,kt/yr
WT,Lower Herbert,Manag_Unit_48,FS,9.073603472347997e-08,kt/yr
WT,Mossman,Manag_Unit_48,FS,0.0,kt/yr
WT,Mulgrave-Russell,Manag_Unit_48,FS,1.5304860349255971e-09,kt/yr
WT,Murray,Manag_Unit_48,FS,2.024701941621743e-09,kt/yr
WT,Tully,Manag_Unit_48,FS,6.195104959033415e-10,kt/yr
WT,Upper Herbert,Manag_Unit_48,FS,0.0,kt/yr
BM,Baffle,Manag_Unit_48,PN,9.702588870202552e-07,t/yr
BM,Burnett,Manag_Unit_48,PN,0.00023505771995099468,t/yr
BM,Burrum,Manag_Unit_48,PN,1.5165641174116948e-05,t/yr
BM,Kolan,Manag_Unit_48,PN,3.765134841699099e-05,t/yr
BM,Mary,Manag_Unit_48,PN,0.0013337635937111221,t/yr
BU,Belyando,Manag_Unit_48,PN,2.3047031717965183e-06,t/yr
BU,Black,Manag_Unit_48,PN,1.3422997938382272e-07,t/yr
BU,Bowen Bogie,Manag_Unit_48,PN,0.0015510833309128125,t/yr
BU,Burdekin Delta,Manag_Unit_48,PN,0.00011421188224010639,t/yr
BU,Cape Campaspe,Manag_Unit_48,PN,6.176496035599637e-06,t/yr
BU,Don,Manag_Unit_48,PN,0.00012611775347836176,t/yr
BU,East Burdekin,Manag_Unit_48,PN,0.00016647296318059876,t/yr
BU,Haughton,Manag_Unit_48,PN,0.00029226257655308625,t/yr
BU,Ross,Manag_Unit_48,PN,1.7192910025743422e-05,t/yr
BU,Suttor,Manag_Unit_48,PN,2.6666127597904202e-05,t/yr
BU,Upper Burdekin,Manag_Unit_48,PN,0.0011599641296464293,t/yr
CY,Endeavour,Manag_Unit_48,PN,1.2783514807724334e-05,t/yr
CY,Jacky Jacky,Manag_Unit_48,PN,0.0,t/yr
CY,Jeannie,Manag_Unit_48,PN,0.0,t/yr
CY,Lockhart,Manag_Unit_48,PN,0.0,t/yr
CY,Normanby,Manag_Unit_48,PN,6.861872424747162e-06,t/yr
CY,Olive Pascoe,Manag_Unit_48,PN,0.0,t/yr
CY,Stewart,Manag_Unit_48,PN,0.0,t/yr
FI,Boyne,Manag_Unit_48,PN,4.19923147372477e-07,t/yr
FI,Calliope,Manag_Unit_48,PN,0.00010135761420172191,t/yr
FI,Comet,Manag_Unit_48,PN,7.869553342247476e-05,t/yr
FI,Dawson,Manag_Unit_48,PN,0.00030639142419781065,t/yr
FI,Fitzroy,Manag_Unit_48,PN,0.0027481214558876315,t/yr
FI,Isaac,Manag_Unit_48,PN,0.0005130941215999125,t/yr
FI,Mackenzie,Manag_Unit_48,PN,4.452271789704885e-05,t/yr
FI,Nogoa,Manag_Unit_48,PN,0.000111206168247611,t/yr
FI,Shoalwater,Manag_Unit_48,PN,6.749156492939316e-13,t/yr
FI,Styx,Manag_Unit_48,PN,2.99925830012171e-06,t/yr
FI,Theresa,Manag_Unit_48,PN,0.00034396999246742347,t/yr
FI,Water Park,Manag_Unit_48,PN,3.649807700062032e-08,t/yr
MW,O-Connell,Manag_Unit_48,PN,0.0006247156286275034,t/yr
