Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToRegExport
BASE,FI,Boyne,DIP,Manag_Unit_48,t/yr,19.037162219840308
BASE,FI,Boyne,DON,Manag_Unit_48,t/yr,75.47857561925214
BASE,FI,Boyne,DOP,Manag_Unit_48,t/yr,4.264017579736576
BASE,FI,Boyne,FS,Manag_Unit_48,kt/yr,6.5172911146976595
BASE,FI,Boyne,PN,Manag_Unit_48,t/yr,22.63416875159328
BASE,FI,Boyne,PP,Manag_Unit_48,t/yr,8.752270246305994
BASE,FI,Calliope,DIN,Manag_Unit_48,t/yr,32.874168153569066
BASE,FI,Calliope,DIP,Manag_Unit_48,t/yr,18.192719297622556
BASE,FI,Calliope,DON,Manag_Unit_48,t/yr,83.17447815254626
BASE,FI,Calliope,DOP,Manag_Unit_48,t/yr,3.9165942177691324
BASE,FI,Calliope,FS,Manag_Unit_48,kt/yr,36.42575662852981
BASE,FI,Calliope,PN,Manag_Unit_48,t/yr,116.07550829610885
BASE,FI,Calliope,PP,Manag_Unit_48,t/yr,51.38839903292117
BASE,FI,Comet,DIN,Manag_Unit_48,t/yr,74.6244188305234
BASE,FI,Comet,DIP,Manag_Unit_48,t/yr,64.90194926914828
BASE,FI,Comet,DON,Manag_Unit_48,t/yr,167.13076327202484
BASE,FI,Comet,DOP,Manag_Unit_48,t/yr,15.48969329037039
BASE,FI,Comet,FS,Manag_Unit_48,kt/yr,167.87530857769147
BASE,FI,Comet,PN,Manag_Unit_48,t/yr,263.38320552353895
BASE,FI,Comet,PP,Manag_Unit_48,t/yr,186.66454095610894
BASE,FI,Dawson,DIN,Manag_Unit_48,t/yr,165.39285783530252
BASE,FI,Dawson,DIP,Manag_Unit_48,t/yr,212.53048062537823
BASE,FI,Dawson,DON,Manag_Unit_48,t/yr,439.43053777428685
BASE,FI,Dawson,DOP,Manag_Unit_48,t/yr,52.237728167558046
BASE,FI,Dawson,FS,Manag_Unit_48,kt/yr,450.0650077248554
BASE,FI,Dawson,PN,Manag_Unit_48,t/yr,926.7052574370294
BASE,FI,Dawson,PP,Manag_Unit_48,t/yr,531.0638933759942
BASE,FI,Fitzroy,DIN,Manag_Unit_48,t/yr,113.25027163282998
BASE,FI,Fitzroy,DIP,Manag_Unit_48,t/yr,107.30778263971442
BASE,FI,Fitzroy,DON,Manag_Unit_48,t/yr,200.22057788261898
BASE,FI,Fitzroy,DOP,Manag_Unit_48,t/yr,23.343765373930726
BASE,FI,Fitzroy,FS,Manag_Unit_48,kt/yr,242.28877712460223
BASE,FI,Fitzroy,PN,Manag_Unit_48,t/yr,511.7413063853223
BASE,FI,Fitzroy,PP,Manag_Unit_48,t/yr,297.9300614194398
BASE,FI,Isaac,DIN,Manag_Unit_48,t/yr,215.22246595516364
BASE,FI,Isaac,DIP,Manag_Unit_48,t/yr,117.58302346886931
BASE,FI,Isaac,DON,Manag_Unit_48,t/yr,643.0338583308003
BASE,FI,Isaac,DOP,Manag_Unit_48,t/yr,25.97875344357444
BASE,FI,Isaac,FS,Manag_Unit_48,kt/yr,224.88955906322346
BASE,FI,Isaac,PN,Manag_Unit_48,t/yr,405.5052731807317
BASE,FI,Isaac,PP,Manag_Unit_48,t/yr,216.69567816307162
BASE,FI,Mackenzie,DIN,Manag_Unit_48,t/yr,51.63413874872577
BASE,FI,Mackenzie,DIP,Manag_Unit_48,t/yr,32.96143903916929
BASE,FI,Mackenzie,DON,Manag_Unit_48,t/yr,146.86304446742702
BASE,FI,Mackenzie,DOP,Manag_Unit_48,t/yr,7.3954681484314415
BASE,FI,Mackenzie,FS,Manag_Unit_48,kt/yr,198.77790870335744
BASE,FI,Mackenzie,PN,Manag_Unit_48,t/yr,277.86633785821573
BASE,FI,Mackenzie,PP,Manag_Unit_48,t/yr,170.8706246065608
BASE,FI,Nogoa,DIN,Manag_Unit_48,t/yr,42.296675104917
BASE,FI,Nogoa,DIP,Manag_Unit_48,t/yr,33.440017487089676
BASE,FI,Nogoa,DON,Manag_Unit_48,t/yr,121.10167419699934
BASE,FI,Nogoa,DOP,Manag_Unit_48,t/yr,7.463776325248981
BASE,FI,Nogoa,FS,Manag_Unit_48,kt/yr,39.941265401310645
BASE,FI,Nogoa,PN,Manag_Unit_48,t/yr,80.18829510624144
BASE,FI,Nogoa,PP,Manag_Unit_48,t/yr,36.978474229028336
BASE,FI,Shoalwater,DIN,Manag_Unit_48,t/yr,17.034665709849953
BASE,FI,Shoalwater,DIP,Manag_Unit_48,t/yr,11.191091186089785
BASE,FI,Shoalwater,DON,Manag_Unit_48,t/yr,67.02801635728363
BASE,FI,Shoalwater,DOP,Manag_Unit_48,t/yr,2.340180706532571
BASE,FI,Shoalwater,FS,Manag_Unit_48,kt/yr,44.3965226542975
BASE,FI,Shoalwater,PN,Manag_Unit_48,t/yr,119.80583156496752
BASE,FI,Shoalwater,PP,Manag_Unit_48,t/yr,38.227710247036
BASE,FI,Styx,DIN,Manag_Unit_48,t/yr,34.09578066651101
BASE,FI,Styx,DIP,Manag_Unit_48,t/yr,16.21341052388363
BASE,FI,Styx,DON,Manag_Unit_48,t/yr,79.28336136194224
BASE,FI,Styx,DOP,Manag_Unit_48,t/yr,3.527915308320918
BASE,FI,Styx,FS,Manag_Unit_48,kt/yr,64.25465771371469
BASE,FI,Styx,PN,Manag_Unit_48,t/yr,178.3681520572038
BASE,FI,Styx,PP,Manag_Unit_48,t/yr,59.44476704404319
BASE,FI,Theresa,DIN,Manag_Unit_48,t/yr,29.93335671798846
BASE,FI,Theresa,DIP,Manag_Unit_48,t/yr,19.167546654140686
BASE,FI,Theresa,DON,Manag_Unit_48,t/yr,66.31366269477083
BASE,FI,Theresa,DOP,Manag_Unit_48,t/yr,4.475734928732938
BASE,FI,Theresa,FS,Manag_Unit_48,kt/yr,55.33995999257188
BASE,FI,Theresa,PN,Manag_Unit_48,t/yr,128.51519113389412
BASE,FI,Theresa,PP,Manag_Unit_48,t/yr,41.38505506107965
BASE,FI,Water Park,DIN,Manag_Unit_48,t/yr,49.65182815643009
BASE,FI,Water Park,DIP,Manag_Unit_48,t/yr,22.273240169406893
BASE,FI,Water Park,DON,Manag_Unit_48,t/yr,114.33310777067314
BASE,FI,Water Park,DOP,Manag_Unit_48,t/yr,5.438609989489853
BASE,FI,Water Park,FS,Manag_Unit_48,kt/yr,11.860351496717495
BASE,FI,Water Park,PN,Manag_Unit_48,t/yr,63.55085444612728
BASE,FI,Water Park,PP,Manag_Unit_48,t/yr,15.919567555610747
BASE,MW,O-Connell,DIN,Manag_Unit_48,t/yr,165.51209126704816
BASE,MW,O-Connell,DIP,Manag_Unit_48,t/yr,34.05499608886163
BASE,MW,O-Connell,DON,Manag_Unit_48,t/yr,579.5971810461457
BASE,MW,O-Connell,DOP,Manag_Unit_48,t/yr,14.47331586104468
BASE,MW,O-Connell,FS,Manag_Unit_48,kt/yr,213.691830081319
BASE,MW,O-Connell,PN,Manag_Unit_48,t/yr,697.8391369976662
BASE,MW,O-Connell,PP,Manag_Unit_48,t/yr,183.3885077882296
BASE,MW,Pioneer,DIN,Manag_Unit_48,t/yr,202.68904112787183
BASE,MW,Pioneer,DIP,Manag_Unit_48,t/yr,36.45583951776228
BASE,MW,Pioneer,DON,Manag_Unit_48,t/yr,251.89730736869234
BASE,MW,Pioneer,DOP,Manag_Unit_48,t/yr,12.928482239131725
BASE,MW,Pioneer,FS,Manag_Unit_48,kt/yr,104.26705873287133
BASE,MW,Pioneer,PN,Manag_Unit_48,t/yr,390.9640217876031
BASE,MW,Pioneer,PP,Manag_Unit_48,t/yr,105.54665170008475
BASE,MW,Plane,DIN,Manag_Unit_48,t/yr,229.46915691007698
BASE,MW,Plane,DIP,Manag_Unit_48,t/yr,134.82909551638235
BASE,MW,Plane,DON,Manag_Unit_48,t/yr,629.3580066636237
BASE,MW,Plane,DOP,Manag_Unit_48,t/yr,36.613468078099515
BASE,MW,Plane,FS,Manag_Unit_48,kt/yr,78.9241628103334
BASE,MW,Plane,PN,Manag_Unit_48,t/yr,568.1114628491074
BASE,MW,Plane,PP,Manag_Unit_48,t/yr,99.2492098297765
BASE,MW,Proserpine,DIN,Manag_Unit_48,t/yr,179.74540774051871
BASE,MW,Proserpine,DIP,Manag_Unit_48,t/yr,40.30898090864813
BASE,MW,Proserpine,DON,Manag_Unit_48,t/yr,295.84325779758507
BASE,MW,Proserpine,DOP,Manag_Unit_48,t/yr,15.739782939419536
BASE,MW,Proserpine,FS,Manag_Unit_48,kt/yr,31.924335529438835
BASE,MW,Proserpine,PN,Manag_Unit_48,t/yr,127.17352607851328
BASE,MW,Proserpine,PP,Manag_Unit_48,t/yr,36.749793312037205
BASE,WT,Barron,DIN,Manag_Unit_48,t/yr,117.08571201940103
BASE,WT,Barron,DIP,Manag_Unit_48,t/yr,12.701976393140036
BASE,WT,Barron,DON,Manag_Unit_48,t/yr,260.3490274538547
BASE,WT,Barron,DOP,Manag_Unit_48,t/yr,12.890345920652564
BASE,WT,Barron,FS,Manag_Unit_48,kt/yr,141.02919425544218
BASE,WT,Barron,PN,Manag_Unit_48,t/yr,444.9990411283335
BASE,WT,Barron,PP,Manag_Unit_48,t/yr,108.74694539101107
BASE,WT,Daintree,DIN,Manag_Unit_48,t/yr,388.0863773638743
BASE,WT,Daintree,DIP,Manag_Unit_48,t/yr,15.81800298640044
BASE,WT,Daintree,DON,Manag_Unit_48,t/yr,563.7653336652326
BASE,WT,Daintree,DOP,Manag_Unit_48,t/yr,38.58463497587747
BASE,WT,Daintree,FS,Manag_Unit_48,kt/yr,112.29944618151069
BASE,WT,Daintree,PN,Manag_Unit_48,t/yr,981.2527303661784
BASE,WT,Daintree,PP,Manag_Unit_48,t/yr,176.73042700392153
BASE,WT,Johnstone,DIN,Manag_Unit_48,t/yr,953.524848514066
BASE,WT,Johnstone,DIP,Manag_Unit_48,t/yr,77.77541538165156
BASE,WT,Johnstone,DON,Manag_Unit_48,t/yr,605.826658137852
BASE,WT,Johnstone,DOP,Manag_Unit_48,t/yr,81.11852383717965
BASE,WT,Johnstone,FS,Manag_Unit_48,kt/yr,335.6500018420014
BASE,WT,Johnstone,PN,Manag_Unit_48,t/yr,1751.7270492823625
BASE,WT,Johnstone,PP,Manag_Unit_48,t/yr,625.3477752663745
BASE,WT,Lower Herbert,DIN,Manag_Unit_48,t/yr,987.8530093506295
BASE,WT,Lower Herbert,DIP,Manag_Unit_48,t/yr,46.46198192819744
BASE,WT,Lower Herbert,DON,Manag_Unit_48,t/yr,543.899479446257
BASE,WT,Lower Herbert,DOP,Manag_Unit_48,t/yr,41.74542819340608
BASE,WT,Lower Herbert,FS,Manag_Unit_48,kt/yr,137.14751611321898
BASE,WT,Lower Herbert,PN,Manag_Unit_48,t/yr,560.8851692843338
BASE,WT,Lower Herbert,PP,Manag_Unit_48,t/yr,123.84216155224485
BASE,WT,Mossman,DIN,Manag_Unit_48,t/yr,73.6238373885365
BASE,WT,Mossman,DIP,Manag_Unit_48,t/yr,6.27906882654682
BASE,WT,Mossman,DON,Manag_Unit_48,t/yr,84.90103285339084
BASE,WT,Mossman,DOP,Manag_Unit_48,t/yr,5.443544655902786
BASE,WT,Mossman,FS,Manag_Unit_48,kt/yr,15.218790556538417
BASE,WT,Mossman,PN,Manag_Unit_48,t/yr,55.575173081149984
BASE,WT,Mossman,PP,Manag_Unit_48,t/yr,17.296516622467646
BASE,WT,Mulgrave-Russell,DIN,Manag_Unit_48,t/yr,605.0768591155831
BASE,WT,Mulgrave-Russell,DIP,Manag_Unit_48,t/yr,34.54217942437405
BASE,WT,Mulgrave-Russell,DON,Manag_Unit_48,t/yr,527.119519654987
BASE,WT,Mulgrave-Russell,DOP,Manag_Unit_48,t/yr,51.02494922315252
BASE,WT,Mulgrave-Russell,FS,Manag_Unit_48,kt/yr,91.91885343715313
BASE,WT,Mulgrave-Russell,PN,Manag_Unit_48,t/yr,558.5939385167945
BASE,WT,Mulgrave-Russell,PP,Manag_Unit_48,t/yr,130.78354587549924
BASE,WT,Murray,DIN,Manag_Unit_48,t/yr,335.194663567308
BASE,WT,Murray,DIP,Manag_Unit_48,t/yr,29.067826569309418
BASE,WT,Murray,DON,Manag_Unit_48,t/yr,197.95998427966455
BASE,WT,Murray,DOP,Manag_Unit_48,t/yr,16.8391333841204
BASE,WT,Murray,FS,Manag_Unit_48,kt/yr,34.00744082792799
BASE,WT,Murray,PN,Manag_Unit_48,t/yr,159.65070331582518
BASE,WT,Murray,PP,Manag_Unit_48,t/yr,28.94161049047463
BASE,WT,Tully,DIN,Manag_Unit_48,t/yr,730.5589299807674
BASE,WT,Tully,DIP,Manag_Unit_48,t/yr,24.667729055954087
BASE,WT,Tully,DON,Manag_Unit_48,t/yr,452.04667654214666
BASE,WT,Tully,DOP,Manag_Unit_48,t/yr,61.536815948453544
BASE,WT,Tully,FS,Manag_Unit_48,kt/yr,104.47195445156416
BASE,WT,Tully,PN,Manag_Unit_48,t/yr,448.669124319135
BASE,WT,Tully,PP,Manag_Unit_48,t/yr,112.75317570930588
BASE,WT,Upper Herbert,DIN,Manag_Unit_48,t/yr,175.415517989762
BASE,WT,Upper Herbert,DIP,Manag_Unit_48,t/yr,18.994303756469428
BASE,WT,Upper Herbert,DON,Manag_Unit_48,t/yr,471.69171320606677
BASE,WT,Upper Herbert,DOP,Manag_Unit_48,t/yr,33.33716547624601
BASE,WT,Upper Herbert,FS,Manag_Unit_48,kt/yr,223.6496271326994
BASE,WT,Upper Herbert,PN,Manag_Unit_48,t/yr,625.1594524031309
BASE,WT,Upper Herbert,PP,Manag_Unit_48,t/yr,163.4271233217141
CHANGE,BM,Baffle,DIN,Manag_Unit_48,t/yr,90.81039720712204
CHANGE,BM,Baffle,DIP,Manag_Unit_48,t/yr,23.516277649960514
CHANGE,BM,Baffle,DON,Manag_Unit_48,t/yr,350.61028749823856
CHANGE,BM,Baffle,DOP,Manag_Unit_48,t/yr,13.728734463371067
CHANGE,BM,Baffle,FS,Manag_Unit_48,kt/yr,26.868739254279
CHANGE,BM,Baffle,PN,Manag_Unit_48,t/yr,99.6961648031108
CHANGE,BM,Baffle,PP,Manag_Unit_48,t/yr,54.516338924440426
CHANGE,BM,Burnett,DIN,Manag_Unit_48,t/yr,217.66074526237762
CHANGE,BM,Burnett,DIP,Manag_Unit_48,t/yr,44.65165326338607
CHANGE,BM,Burnett,DON,Manag_Unit_48,t/yr,482.70463691843656
CHANGE,BM,Burnett,DOP,Manag_Unit_48,t/yr,22.762181054845136
CHANGE,BM,Burnett,FS,Manag_Unit_48,kt/yr,239.1629851513078
CHANGE,BM,Burnett,PN,Manag_Unit_48,t/yr,559.2916594854732
CHANGE,BM,Burnett,PP,Manag_Unit_48,t/yr,192.89134876331482
CHANGE,BM,Burrum,DIN,Manag_Unit_48,t/yr,76.77395243724283
CHANGE,BM,Burrum,DIP,Manag_Unit_48,t/yr,14.972940850573963
CHANGE,BM,Burrum,DON,Manag_Unit_48,t/yr,162.81734139860762
