Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BU,Burdekin,Basin_35,FS,0.000164431385867518,kt/yr
BU,Don,Basin_35,FS,4.282522968369364e-06,kt/yr
BU,Haughton,Basin_35,FS,2.6746294919120526e-06,kt/yr
BU,Ross,Basin_35,FS,1.6838219030106273e-06,kt/yr
CY,Endeavour,Basin_35,FS,1.1656330211518437e-06,kt/yr
CY,Jacky Jacky,Basin_35,FS,4.151148730536628e-08,kt/yr
CY,Jeannie,Basin_35,FS,5.885687348452869e-07,kt/yr
CY,Lockhart,Basin_35,FS,9.867058534323453e-08,kt/yr
CY,Normanby,Basin_35,FS,7.596515253387583e-06,kt/yr
CY,Olive Pascoe,Basin_35,FS,5.519516004529678e-07,kt/yr
CY,Stewart,Basin_35,FS,1.0331070152253966e-07,kt/yr
FI,Boyne,Basin_35,FS,1.0226586322460646e-06,kt/yr
FI,Calliope,Basin_35,FS,1.332503707430383e-06,kt/yr
FI,Fitzroy,Basin_35,FS,7.626272232646155e-05,kt/yr
FI,Shoalwater,Basin_35,FS,7.952756511187433e-07,kt/yr
FI,Styx,Basin_35,FS,1.6975293282474178e-06,kt/yr
FI,Water Park,Basin_35,FS,1.3183476227227686e-07,kt/yr
MW,O-Connell,Basin_35,FS,6.550324827488957e-06,kt/yr
MW,Pioneer,Basin_35,FS,2.6454057793478273e-06,kt/yr
MW,Plane,Basin_35,FS,2.240307154850833e-06,kt/yr
MW,Proserpine,Basin_35,FS,1.117578393900781e-06,kt/yr
WT,Barron,Basin_35,FS,3.565700716728452e-06,kt/yr
WT,Daintree,Basin_35,FS,1.5938629839817537e-06,kt/yr
WT,Herbert,Basin_35,FS,6.49265235167937e-06,kt/yr
WT,Johnstone,Basin_35,FS,8.084226710469751e-06,kt/yr
WT,Mossman,Basin_35,FS,2.0617580080057967e-07,kt/yr
WT,Mulgrave-Russell,Basin_35,FS,1.766822124835712e-06,kt/yr
WT,Murray,Basin_35,FS,5.073217183722434e-07,kt/yr
WT,Tully,Basin_35,FS,1.735956668234923e-06,kt/yr
BM,Baffle,Basin_35,PN,0.0025974622181961443,t/yr
BM,Burnett,Basin_35,PN,0.08279714149650585,t/yr
BM,Burrum,Basin_35,PN,0.001086213491214727,t/yr
BM,Kolan,Basin_35,PN,0.006564290997013599,t/yr
BM,Mary,Basin_35,PN,0.0286838339266766,t/yr
