Region,Basin,BasinScale,Constituent,PercentReduction,Units
FI,Fitzroy,Basin_35,PN,4.16821529100913,%
FI,Shoalwater,Basin_35,PN,5.5098510860894183e-08,%
FI,Styx,Basin_35,PN,0.0806627944943064,%
FI,Water Park,Basin_35,PN,0.010843303686291899,%
MW,O-Connell,Basin_35,PN,3.0148750257819343,%
MW,Pioneer,Basin_35,PN,1.065279088531929,%
MW,Plane,Basin_35,PN,1.018934486209149,%
MW,Proserpine,Basin_35,PN,1.0623727973473722,%
WT,Barron,Basin_35,PN,0.0016091308973379002,%
WT,Daintree,Basin_35,PN,0.0,%
WT,Herbert,Basin_35,PN,1.1491180555950231,%
WT,Johnstone,Basin_35,PN,0.13088168176289602,%
WT,Mossman,Basin_35,PN,0.0,%
WT,Mulgrave-Russell,Basin_35,PN,0.102359188165545,%
WT,Murray,Basin_35,PN,0.8144642647106924,%
WT,Tully,Basin_35,PN,0.10240141459447356,%
BM,Baffle,Basin_35,PP,0.017131296590162548,%
BM,Burnett,Basin_35,PP,0.2239779202063926,%
BM,Burrum,Basin_35,PP,2.0193963868427187,%
BM,Kolan,Basin_35,PP,0.5544444057778274,%
BM,Mary,Basin_35,PP,5.42561799597342,%
BU,Black,Basin_35,PP,0.010337820708713658,%
BU,Burdekin,Basin_35,PP,2.002195566996856,%
BU,Don,Basin_35,PP,1.7289585845138473,%
BU,Haughton,Basin_35,PP,3.5341478461314857,%
BU,Ross,Basin_35,PP,0.4648511699043129,%
CY,Endeavour,Basin_35,PP,0.6850676648003855,%
CY,Jacky Jacky,Basin_35,PP,0.0,%
CY,Jeannie,Basin_35,PP,0.0,%
CY,Lockhart,Basin_35,PP,0.0,%
CY,Normanby,Basin_35,PP,0.07280795341813373,%
CY,Olive Pascoe,Basin_35,PP,0.0,%
CY,Stewart,Basin_35,PP,0.0,%
FI,Boyne,Basin_35,PP,0.007021924225237281,%
FI,Calliope,Basin_35,PP,3.2591147329598384,%
FI,Fitzroy,Basin_35,PP,3.0887758440743354,%
FI,Shoalwater,Basin_35,PP,1.0752918377273583e-07,%
FI,Styx,Basin_35,PP,0.06376523205096275,%
FI,Water Park,Basin_35,PP,0.014184152021187339,%
