Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
CHANGE,BU,Haughton,DIN,Basin_35,t/yr,353.175586375966
CHANGE,BU,Haughton,DIP,Basin_35,t/yr,55.238661777911716
CHANGE,BU,Haughton,DON,Basin_35,t/yr,301.4310431859731
CHANGE,BU,Haughton,DOP,Basin_35,t/yr,19.086458831326595
CHANGE,BU,Haughton,FS,Basin_35,kt/yr,100.00103790631867
CHANGE,BU,Haughton,PN,Basin_35,t/yr,300.9571280426192
CHANGE,BU,Haughton,PP,Basin_35,t/yr,109.44570614700169
CHANGE,BU,Ross,DIN,Basin_35,t/yr,90.06427084594122
CHANGE,BU,Ross,DIP,Basin_35,t/yr,27.92208495262912
CHANGE,BU,Ross,DON,Basin_35,t/yr,179.58617610473542
CHANGE,BU,Ross,DOP,Basin_35,t/yr,8.705618155849082
CHANGE,BU,Ross,FS,Basin_35,kt/yr,78.38808255147836
CHANGE,BU,Ross,PN,Basin_35,t/yr,160.4858439987171
CHANGE,BU,Ross,PP,Basin_35,t/yr,77.66063061489439
CHANGE,CY,Endeavour,DIN,Basin_35,t/yr,49.71066533798225
CHANGE,CY,Endeavour,DIP,Basin_35,t/yr,8.041773532851286
CHANGE,CY,Endeavour,DON,Basin_35,t/yr,270.3631617603081
CHANGE,CY,Endeavour,DOP,Basin_35,t/yr,16.494207985108627
CHANGE,CY,Endeavour,FS,Basin_35,kt/yr,90.56082158302986
CHANGE,CY,Endeavour,PN,Basin_35,t/yr,355.15471028645896
CHANGE,CY,Endeavour,PP,Basin_35,t/yr,127.58176577977243
CHANGE,CY,Jacky Jacky,DIN,Basin_35,t/yr,47.81618649174776
CHANGE,CY,Jacky Jacky,DIP,Basin_35,t/yr,4.240067873451049
CHANGE,CY,Jacky Jacky,DON,Basin_35,t/yr,286.1316478160365
CHANGE,CY,Jacky Jacky,DOP,Basin_35,t/yr,16.786065522003558
CHANGE,CY,Jacky Jacky,FS,Basin_35,kt/yr,11.915526444677717
CHANGE,CY,Jacky Jacky,PN,Basin_35,t/yr,193.27202354929042
CHANGE,CY,Jacky Jacky,PP,Basin_35,t/yr,70.7863582004979
CHANGE,CY,Jeannie,DIN,Basin_35,t/yr,33.283978049949226
CHANGE,CY,Jeannie,DIP,Basin_35,t/yr,4.729332210827563
CHANGE,CY,Jeannie,DON,Basin_35,t/yr,200.15951690301404
CHANGE,CY,Jeannie,DOP,Basin_35,t/yr,12.548753768864648
CHANGE,CY,Jeannie,FS,Basin_35,kt/yr,52.28016960690181
CHANGE,CY,Jeannie,PN,Basin_35,t/yr,205.561205431928
CHANGE,CY,Jeannie,PP,Basin_35,t/yr,109.1194076334184
CHANGE,CY,Lockhart,DIN,Basin_35,t/yr,39.77144342197023
CHANGE,CY,Lockhart,DIP,Basin_35,t/yr,3.444010215133932
CHANGE,CY,Lockhart,DON,Basin_35,t/yr,229.13069609732588
CHANGE,CY,Lockhart,DOP,Basin_35,t/yr,13.880735711606953
CHANGE,CY,Lockhart,FS,Basin_35,kt/yr,22.412951477666653
CHANGE,CY,Lockhart,PN,Basin_35,t/yr,84.90599618384907
CHANGE,CY,Lockhart,PP,Basin_35,t/yr,28.627419850581653
CHANGE,CY,Normanby,DIN,Basin_35,t/yr,181.41724836935188
CHANGE,CY,Normanby,DIP,Basin_35,t/yr,34.41427067042795
CHANGE,CY,Normanby,DON,Basin_35,t/yr,1300.9076974380334
CHANGE,CY,Normanby,DOP,Basin_35,t/yr,76.79370003438443
CHANGE,CY,Normanby,FS,Basin_35,kt/yr,317.99579593586066
CHANGE,CY,Normanby,PN,Basin_35,t/yr,734.5839244460955
CHANGE,CY,Normanby,PP,Basin_35,t/yr,278.2126348176006
CHANGE,CY,Olive Pascoe,DIN,Basin_35,t/yr,142.96447696754728
CHANGE,CY,Olive Pascoe,DIP,Basin_35,t/yr,7.726245754617602
CHANGE,CY,Olive Pascoe,DON,Basin_35,t/yr,522.691314620568
CHANGE,CY,Olive Pascoe,DOP,Basin_35,t/yr,29.623477586981252
CHANGE,CY,Olive Pascoe,FS,Basin_35,kt/yr,86.4236454860073
CHANGE,CY,Olive Pascoe,PN,Basin_35,t/yr,465.6951490768551
CHANGE,CY,Olive Pascoe,PP,Basin_35,t/yr,66.97546952880508
CHANGE,CY,Stewart,DIN,Basin_35,t/yr,33.83413423250521
CHANGE,CY,Stewart,DIP,Basin_35,t/yr,2.732198421301453
CHANGE,CY,Stewart,DON,Basin_35,t/yr,183.81878339081214
CHANGE,CY,Stewart,DOP,Basin_35,t/yr,10.198420786602844
CHANGE,CY,Stewart,FS,Basin_35,kt/yr,16.48561577237798
CHANGE,CY,Stewart,PN,Basin_35,t/yr,75.79033081042498
CHANGE,CY,Stewart,PP,Basin_35,t/yr,21.911839996641667
CHANGE,FI,Boyne,DIN,Basin_35,t/yr,36.15387541143704
CHANGE,FI,Boyne,DIP,Basin_35,t/yr,26.30584033488657
CHANGE,FI,Boyne,DON,Basin_35,t/yr,99.9095119672595
CHANGE,FI,Boyne,DOP,Basin_35,t/yr,5.965849978066476
CHANGE,FI,Boyne,FS,Basin_35,kt/yr,43.75381653844511
CHANGE,FI,Boyne,PN,Basin_35,t/yr,165.75408923315047
CHANGE,FI,Boyne,PP,Basin_35,t/yr,72.95009031386307
CHANGE,FI,Calliope,DIN,Basin_35,t/yr,32.87419368120462
CHANGE,FI,Calliope,DIP,Basin_35,t/yr,18.19273250201854
CHANGE,FI,Calliope,DON,Basin_35,t/yr,83.17455028693335
CHANGE,FI,Calliope,DOP,Basin_35,t/yr,3.9165970158490144
CHANGE,FI,Calliope,FS,Basin_35,kt/yr,49.453437771380024
CHANGE,FI,Calliope,PN,Basin_35,t/yr,140.5623566905285
CHANGE,FI,Calliope,PP,Basin_35,t/yr,63.73725878151394
CHANGE,FI,Fitzroy,DIN,Basin_35,t/yr,751.3898244723157
CHANGE,FI,Fitzroy,DIP,Basin_35,t/yr,626.8252587675147
CHANGE,FI,Fitzroy,DON,Basin_35,t/yr,1949.450897986011
CHANGE,FI,Fitzroy,DOP,Basin_35,t/yr,145.17868013306784
CHANGE,FI,Fitzroy,FS,Basin_35,kt/yr,2724.3689514054195
CHANGE,FI,Fitzroy,PN,Basin_35,t/yr,4681.4441993307455
CHANGE,FI,Fitzroy,PP,Basin_35,t/yr,2777.3958034875614
CHANGE,FI,Shoalwater,DIN,Basin_35,t/yr,17.034805408915453
CHANGE,FI,Shoalwater,DIP,Basin_35,t/yr,11.191161494610318
CHANGE,FI,Shoalwater,DON,Basin_35,t/yr,67.02890704501033
