Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Normanby,Sugarcane,PN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Urban + Other,PN,0.025266163347171702,Basin_35,t/yr
PREDEV,CY,Normanby,Bananas,PP,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Conservation,PP,106.05614732269753,Basin_35,t/yr
PREDEV,CY,Normanby,Cropping,PP,0.050505425273638514,Basin_35,t/yr
PREDEV,CY,Normanby,Dairy,PP,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Forestry,PP,0.04220386360713816,Basin_35,t/yr
PREDEV,CY,Normanby,Grazing,PP,61.078672949921206,Basin_35,t/yr
PREDEV,CY,Normanby,Horticulture,PP,0.0029377156242739993,Basin_35,t/yr
PREDEV,CY,Normanby,Stream,PP,8.075999649291372,Basin_35,t/yr
PREDEV,CY,Normanby,Sugarcane,PP,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Urban + Other,PP,0.010457142505710473,Basin_35,t/yr
PREDEV,CY,Normanby,Bananas,DIN,0.0490769805400447,Basin_35,t/yr
PREDEV,CY,Normanby,Conservation,DIN,89.79686331594586,Basin_35,t/yr
PREDEV,CY,Normanby,Cropping,DIN,0.21275910063839304,Basin_35,t/yr
PREDEV,CY,Normanby,Dairy,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Forestry,DIN,0.00781904192658216,Basin_35,t/yr
PREDEV,CY,Normanby,Grazing,DIN,72.29529074062901,Basin_35,t/yr
PREDEV,CY,Normanby,Horticulture,DIN,0.009695365552283354,Basin_35,t/yr
PREDEV,CY,Normanby,Stream,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Sugarcane,DIN,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Urban + Other,DIN,0.07175126552127892,Basin_35,t/yr
PREDEV,CY,Normanby,Bananas,DON,0.21319726149856486,Basin_35,t/yr
PREDEV,CY,Normanby,Conservation,DON,480.80890758640635,Basin_35,t/yr
PREDEV,CY,Normanby,Cropping,DON,0.9167446123107446,Basin_35,t/yr
PREDEV,CY,Normanby,Dairy,DON,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Forestry,DON,0.032130436732433584,Basin_35,t/yr
PREDEV,CY,Normanby,Grazing,DON,397.0028023243556,Basin_35,t/yr
PREDEV,CY,Normanby,Horticulture,DON,0.04010304055033089,Basin_35,t/yr
PREDEV,CY,Normanby,Stream,DON,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Sugarcane,DON,0.0,Basin_35,t/yr
PREDEV,CY,Normanby,Urban + Other,DON,0.4250196074278726,Basin_35,t/yr
