Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,BASE,Region,CY,,Horticulture,PP,,report,0.015300363266537598
FU,FU,BASE,Region,CY,,Stream,PP,,report,13.034010874861043
FU,FU,BASE,Region,CY,,Sugarcane,PP,,report,0.0
FU,FU,BASE,Region,CY,,Urban + Other,PP,,report,0.12205462639492085
FU,FU,BASE,Region,FI,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,DIN,,report,38.371167544217435
FU,FU,BASE,Region,FI,,Cropping,DIN,,report,84.7762098736726
FU,FU,BASE,Region,FI,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,DIN,,report,90.67186703804327
FU,FU,BASE,Region,FI,,Grazing,DIN,,report,521.5199536486641
FU,FU,BASE,Region,FI,,Horticulture,DIN,,report,3.9255235801634822
FU,FU,BASE,Region,FI,,Stream,DIN,,report,50.00047462840699
FU,FU,BASE,Region,FI,,Sugarcane,DIN,,report,15.522117189224884
FU,FU,BASE,Region,FI,,Urban + Other,DIN,,report,49.586860534217045
FU,FU,BASE,Region,FI,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,FS,,report,66.12459440764928
FU,FU,BASE,Region,FI,,Cropping,FS,,report,62.78312230690547
FU,FU,BASE,Region,FI,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,FS,,report,41.59616524353398
FU,FU,BASE,Region,FI,,Grazing,FS,,report,877.1062465027502
FU,FU,BASE,Region,FI,,Horticulture,FS,,report,0.5451074563234005
FU,FU,BASE,Region,FI,,Stream,FS,,report,482.53404693811194
FU,FU,BASE,Region,FI,,Sugarcane,FS,,report,0.5955290761399368
FU,FU,BASE,Region,FI,,Urban + Other,FS,,report,11.347554264155468
FU,FU,BASE,Region,FI,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,PN,,report,244.9933917755963
FU,FU,BASE,Region,FI,,Cropping,PN,,report,348.7451615890101
FU,FU,BASE,Region,FI,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,PN,,report,151.48608198571029
FU,FU,BASE,Region,FI,,Grazing,PN,,report,1712.0206125713541
FU,FU,BASE,Region,FI,,Horticulture,PN,,report,0.26244446715313535
FU,FU,BASE,Region,FI,,Stream,PN,,report,626.7411386615634
FU,FU,BASE,Region,FI,,Sugarcane,PN,,report,3.427178162932262
FU,FU,BASE,Region,FI,,Urban + Other,PN,,report,6.663372527655294
FU,FU,BASE,Region,FI,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,PP,,report,94.54082922572336
FU,FU,BASE,Region,FI,,Cropping,PP,,report,121.54899588099047
FU,FU,BASE,Region,FI,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,PP,,report,63.187473249336826
FU,FU,BASE,Region,FI,,Grazing,PP,,report,955.5028818601724
FU,FU,BASE,Region,FI,,Horticulture,PP,,report,0.1248769809840898
FU,FU,BASE,Region,FI,,Stream,PP,,report,412.71263615496645
FU,FU,BASE,Region,FI,,Sugarcane,PP,,report,3.3453309383257968
FU,FU,BASE,Region,FI,,Urban + Other,PP,,report,4.358017646701197
FU,FU,BASE,Region,MW,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,DIN,,report,57.513713552889136
FU,FU,BASE,Region,MW,,Cropping,DIN,,report,3.2671621767833305
FU,FU,BASE,Region,MW,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,DIN,,report,14.735897611629582
FU,FU,BASE,Region,MW,,Grazing,DIN,,report,193.86670367641935
FU,FU,BASE,Region,MW,,Horticulture,DIN,,report,7.086538039934509
FU,FU,BASE,Region,MW,,Stream,DIN,,report,18.972628988987267
FU,FU,BASE,Region,MW,,Sugarcane,DIN,,report,397.5758409633382
FU,FU,BASE,Region,MW,,Urban + Other,DIN,,report,84.39721203553435
FU,FU,BASE,Region,MW,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,FS,,report,13.58133413525257
FU,FU,BASE,Region,MW,,Cropping,FS,,report,0.537751774026851
FU,FU,BASE,Region,MW,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,FS,,report,2.8179013095777132
FU,FU,BASE,Region,MW,,Grazing,FS,,report,44.53013449191906
FU,FU,BASE,Region,MW,,Horticulture,FS,,report,1.1713611507508481
FU,FU,BASE,Region,MW,,Stream,FS,,report,331.82840143931554
FU,FU,BASE,Region,MW,,Sugarcane,FS,,report,20.422224956931743
FU,FU,BASE,Region,MW,,Urban + Other,FS,,report,13.918277896188291
FU,FU,BASE,Region,MW,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,PN,,report,180.3233519278101
FU,FU,BASE,Region,MW,,Cropping,PN,,report,0.30956432797302286
FU,FU,BASE,Region,MW,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,PN,,report,54.700963931705665
FU,FU,BASE,Region,MW,,Grazing,PN,,report,608.6164408962231
FU,FU,BASE,Region,MW,,Horticulture,PN,,report,0.426906790482178
FU,FU,BASE,Region,MW,,Stream,PN,,report,479.1107827226236
FU,FU,BASE,Region,MW,,Sugarcane,PN,,report,460.60013711607223
FU,FU,BASE,Region,MW,,Urban + Other,PN,,report,0.0
FU,FU,BASE,Region,MW,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,PP,,report,48.79917303799344
FU,FU,BASE,Region,MW,,Cropping,PP,,report,0.06268074006844766
FU,FU,BASE,Region,MW,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,PP,,report,14.11765142516044
FU,FU,BASE,Region,MW,,Grazing,PP,,report,120.52508189616768
FU,FU,BASE,Region,MW,,Horticulture,PP,,report,0.13858908458389316
FU,FU,BASE,Region,MW,,Stream,PP,,report,197.74443249102706
FU,FU,BASE,Region,MW,,Sugarcane,PP,,report,43.54655395512709
FU,FU,BASE,Region,MW,,Urban + Other,PP,,report,0.0
FU,FU,BASE,Region,WT,,Bananas,DIN,,report,667.3843816003063
FU,FU,BASE,Region,WT,,Conservation,DIN,,report,988.0679670357937
FU,FU,BASE,Region,WT,,Cropping,DIN,,report,15.322658384796963
FU,FU,BASE,Region,WT,,Dairy,DIN,,report,16.17480810714464
FU,FU,BASE,Region,WT,,Forestry,DIN,,report,62.940517759097084
FU,FU,BASE,Region,WT,,Grazing,DIN,,report,409.9027654767065
FU,FU,BASE,Region,WT,,Horticulture,DIN,,report,29.669907081168954
FU,FU,BASE,Region,WT,,Stream,DIN,,report,50.81750468173047
FU,FU,BASE,Region,WT,,Sugarcane,DIN,,report,2007.324476379564
FU,FU,BASE,Region,WT,,Urban + Other,DIN,,report,118.81476878361876
FU,FU,BASE,Region,WT,,Bananas,FS,,report,7.290956435002899
FU,FU,BASE,Region,WT,,Conservation,FS,,report,274.4043733562967
FU,FU,BASE,Region,WT,,Cropping,FS,,report,20.181243788356937
FU,FU,BASE,Region,WT,,Dairy,FS,,report,8.584798799268503
FU,FU,BASE,Region,WT,,Forestry,FS,,report,17.923539544470337
FU,FU,BASE,Region,WT,,Grazing,FS,,report,239.5888448931888
FU,FU,BASE,Region,WT,,Horticulture,FS,,report,22.35009162384256
FU,FU,BASE,Region,WT,,Stream,FS,,report,524.7585941812542
FU,FU,BASE,Region,WT,,Sugarcane,FS,,report,68.07207777984144
