SUBCAT,Basin_35,Manag_Unit_48
SC #82,Olive-Pascoe,Olive-Pascoe
SC #106,Olive-Pascoe,Olive-Pascoe
SC #100,Olive-Pascoe,Olive-Pascoe
SC #126,Olive-Pascoe,Olive-Pascoe
SC #120,Olive-Pascoe,Olive-Pascoe
SC #96,Olive-Pascoe,Olive-Pascoe
SC #168,Stewart River,Stewart River
SC #50,Olive-Pascoe,Olive-Pascoe
SC #83,Olive-Pascoe,Olive-Pascoe
SC #11,Olive-Pascoe,Olive-Pascoe
SC #154,Stewart River,Stewart River
SC #169,Stewart River,Stewart River
SC #159,Stewart River,Stewart River
SC #118,Olive-Pascoe,Olive-Pascoe
SC #124,Olive-Pascoe,Olive-Pascoe
SC #293,Normanby River,Normanby River
SC #98,Olive-Pascoe,Olive-Pascoe
SC #369,Normanby River,Normanby River
SC #104,Olive-Pascoe,Olive-Pascoe
SC #115,Lockhart River,Lockhart River
SC #359,Normanby River,Normanby River
SC #151,Stewart River,Stewart River
SC #256,Normanby River,Normanby River
SC #107,Lockhart River,Lockhart River
SC #117,Lockhart River,Lockhart River
SC #148,Stewart River,Stewart River
SC #103,Olive-Pascoe,Olive-Pascoe
SC #170,Stewart River,Stewart River
SC #128,Lockhart River,Lockhart River
SC #287,Normanby River,Normanby River
SC #239,Normanby River,Normanby River
SC #176,Stewart River,Stewart River
SC #155,Stewart River,Stewart River
SC #14,Lockhart River,Lockhart River
SC #161,Stewart River,Stewart River
SC #102,Olive-Pascoe,Olive-Pascoe
SC #172,Stewart River,Stewart River
SC #132,Lockhart River,Lockhart River
SC #156,Stewart River,Stewart River
SC #140,Lockhart River,Lockhart River
SC #230,Normanby River,Normanby River
SC #144,Lockhart River,Lockhart River
SC #275,Normanby River,Normanby River
SC #190,Normanby River,Normanby River
SC #382,Normanby River,Normanby River
SC #101,Olive-Pascoe,Olive-Pascoe
SC #138,Lockhart River,Lockhart River
SC #12,Olive-Pascoe,Olive-Pascoe
SC #164,Stewart River,Stewart River
SC #149,Stewart River,Stewart River
SC #142,Lockhart River,Lockhart River
SC #222,Normanby River,Normanby River
SC #366,Normanby River,Normanby River
SC #135,Lockhart River,Lockhart River
SC #260,Normanby River,Normanby River
SC #134,Lockhart River,Lockhart River
SC #345,Normanby River,Normanby River
SC #133,Lockhart River,Lockhart River
SC #129,Lockhart River,Lockhart River
SC #278,Normanby River,Normanby River
SC #127,Lockhart River,Lockhart River
SC #184,Normanby River,Normanby River
SC #202,Normanby River,Normanby River
SC #193,Normanby River,Normanby River
SC #264,Normanby River,Normanby River
SC #146,Lockhart River,Lockhart River
SC #235,Normanby River,Normanby River
SC #13,Lockhart River,Lockhart River
SC #136,Lockhart River,Lockhart River
SC #303,Normanby River,Normanby River
SC #355,Normanby River,Normanby River
SC #284,Normanby River,Normanby River
SC #215,Normanby River,Normanby River
SC #178,Stewart River,Stewart River
SC #383,Normanby River,Normanby River
SC #368,Normanby River,Normanby River
SC #346,Normanby River,Normanby River
SC #145,Lockhart River,Lockhart River
