ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #487,Mary,Mary
Node on catchment SC #550,Mary,Mary
Node on catchment SC #283,Burnett,Burnett
Node on catchment SC #296,Burnett,Burnett
Node on catchment SC #291,Burnett,Burnett
Node on catchment SC #290,Burnett,Burnett
Node on catchment SC #237,Burnett,Burnett
Node on catchment SC #293,Burnett,Burnett
Node on catchment SC #232,Burnett,Burnett
Node on catchment SC #230,Burnett,Burnett
Node on catchment SC #604,Burnett,Burnett
Node on catchment SC #19,Baffle,Baffle
Node on catchment SC #205,Burnett,Burnett
Node on catchment SC #680,Burnett,Burnett
Node on catchment SC #62,Kolan,Kolan
Node on catchment SC #14,Baffle,Baffle
Node on catchment SC #34,Baffle,Baffle
Node on catchment SC #24,Baffle,Baffle
Node on catchment SC #54,Kolan,Kolan
Node on catchment SC #43,Kolan,Kolan
Node on catchment SC #576,Burnett,Burnett
Node on catchmen SC #574,Kolan,Kolan
Node on catchment SC #498,Mary,Mary
Node on catchment SC #497,Mary,Mary
Node on catchment SC #494,Mary,Mary
Node on catchment SC #490,Mary,Mary
Node on catchment SC #637,Mary,Mary
Node on catchment SC #36,Baffle,Baffle
Outlet Node17,Burrum,Burrum
Node on catchment SC #436,Burrum,Burrum
Node on catchment SC #491,Mary,Mary
Outlet Node15,Burrum,Burrum
Node on catchment SC #649,Burrum,Burrum
Outlet Node16,Burrum,Burrum
Outlet Node13,Burrum,Burrum
Outlet Node14,Burrum,Burrum
Node on catchmen SC #582,Burnett,Burnett
Lenthalls Dam_MFR,Burrum,Burrum
Node on catchment SC #456,Burrum,Burrum
Node on catchment SC #449,Burrum,Burrum
Outlet Node20,Burrum,Burrum
Outlet Node55,Burrum,Burrum
Claude Wharton Weir,Burnett,Burnett
Node on catchment SC #224,Burnett,Burnett
Claude Wharton Weir_MFR,Burnett,Burnett
Node on catchment SC #592,Burnett,Burnett
Node on catchment SC #171,Burnett,Burnett
Node on catchment SC #174,Burnett,Burnett
Node on catchment SC #385,Burnett,Burnett
Node on catchment SC #254,Burnett,Burnett
Node on catchment SC #636,Mary,Mary
138111A,Mary,Mary
138107B,Mary,Mary
138007A,Mary,Mary
138001A,Mary,Mary
