ModelElement,Basin_35,Manag_Unit_48
SC #394,Johnstone,Johnstone
SC #309,Herbert,Upper Herbert
SC #337,Herbert,Upper Herbert
SC #154,Johnstone,Johnstone
SC #131,Johnstone,Johnstone
SC #320,Herbert,Upper Herbert
SC #323,Herbert,Upper Herbert
SC #420,Johnstone,Johnstone
SC #125,Johnstone,Johnstone
SC #124,Johnstone,Johnstone
SC #465,Tully,Tully
SC #90499,Johnstone,Johnstone
SC #127,Johnstone,Johnstone
SC #344,Herbert,Upper Herbert
SC #308,Herbert,Upper Herbert
SC #389,Johnstone,Johnstone
SC #450,Herbert,Upper Herbert
SC #343,Herbert,Upper Herbert
SC #319,Herbert,Upper Herbert
SC #129,Johnstone,Johnstone
SC #312,Herbert,Upper Herbert
SC #305,Herbert,Upper Herbert
SC #342,Herbert,Upper Herbert
SC #473,Herbert,Upper Herbert
SC #322,Herbert,Upper Herbert
SC #487,Johnstone,Johnstone
SC #155,Johnstone,Johnstone
SC #179,Tully,Tully
SC #157,Johnstone,Johnstone
SC #442,Johnstone,Johnstone
SC #295,Herbert,Upper Herbert
SC #170,Tully,Tully
SC #176,Tully,Tully
SC #477,Tully,Tully
SC #174,Tully,Tully
SC #314,Herbert,Upper Herbert
SC #471,Herbert,Upper Herbert
SC #458,Tully,Tully
SC #307,Herbert,Upper Herbert
SC #346,Herbert,Upper Herbert
SC #173,Tully,Tully
SC #294,Herbert,Upper Herbert
SC #90500,Johnstone,Johnstone
SC #162,Johnstone,Johnstone
SC #175,Tully,Tully
SC #345,Herbert,Upper Herbert
SC #156,Johnstone,Johnstone
SC #285,Herbert,Upper Herbert
SC #297,Herbert,Upper Herbert
SC #457,Tully,Tully
SC #459,Tully,Tully
SC #177,Tully,Tully
SC #159,Johnstone,Johnstone
SC #178,Tully,Tully
SC #158,Johnstone,Johnstone
SC #161,Johnstone,Johnstone
SC #269,Herbert,Upper Herbert
SC #444,Tully,Tully
SC #304,Herbert,Upper Herbert
SC #293,Herbert,Upper Herbert
SC #271,Herbert,Upper Herbert
SC #274,Herbert,Upper Herbert
SC #279,Herbert,Upper Herbert
SC #90512,Johnstone,Johnstone
SC #284,Herbert,Upper Herbert
SC #160,Johnstone,Johnstone
SC #483,Tully,Tully
SC #286,Herbert,Upper Herbert
SC #475,Tully,Tully
SC #306,Herbert,Upper Herbert
SC #451,Herbert,Upper Herbert
SC #270,Herbert,Upper Herbert
SC #298,Herbert,Upper Herbert
SC #302,Herbert,Upper Herbert
SC #281,Herbert,Upper Herbert
SC #474,Tully,Tully
SC #296,Herbert,Upper Herbert
SC #313,Herbert,Upper Herbert
SC #292,Herbert,Upper Herbert
SC #287,Herbert,Upper Herbert
SC #303,Herbert,Upper Herbert
SC #273,Herbert,Upper Herbert
SC #280,Herbert,Upper Herbert
SC #289,Herbert,Upper Herbert
SC #299,Herbert,Upper Herbert
SC #90501,Tully,Tully
SC #272,Herbert,Upper Herbert
SC #288,Herbert,Upper Herbert
SC #171,Tully,Tully
SC #169,Tully,Tully
SC #180,Tully,Tully
SC #275,Herbert,Upper Herbert
SC #184,Tully,Tully
SC #168,Tully,Tully
SC #163,Tully,Tully
SC #276,Herbert,Upper Herbert
SC #290,Herbert,Upper Herbert
SC #291,Herbert,Upper Herbert
SC #352,Herbert,Upper Herbert
SC #172,Tully,Tully
SC #166,Tully,Tully
SC #164,Tully,Tully
SC #452,Herbert,Upper Herbert
SC #476,Tully,Tully
SC #183,Tully,Tully
SC #181,Tully,Tully
SC #278,Herbert,Upper Herbert
SC #277,Herbert,Upper Herbert
SC #185,Tully,Tully
SC #268,Herbert,Upper Herbert
SC #421,Tully,Tully
SC #478,Tully,Tully
SC #301,Herbert,Upper Herbert
SC #267,Herbert,Upper Herbert
SC #300,Herbert,Upper Herbert
SC #165,Tully,Tully
SC #182,Tully,Tully
SC #282,Herbert,Upper Herbert
SC #283,Herbert,Upper Herbert
SC #350,Herbert,Upper Herbert
SC #479,Tully,Tully
SC #266,Herbert,Upper Herbert
SC #348,Herbert,Upper Herbert
SC #167,Tully,Tully
SC #482,Murray,Murray
SC #90502,Tully,Tully
SC #360,Herbert,Upper Herbert
SC #186,Tully,Tully
SC #349,Herbert,Upper Herbert
SC #484,Murray,Murray
SC #351,Herbert,Upper Herbert
SC #265,Herbert,Upper Herbert
SC #353,Herbert,Upper Herbert
SC #189,Murray,Murray
SC #263,Herbert,Upper Herbert
SC #485,Murray,Murray
SC #188,Murray,Murray
SC #187,Murray,Murray
SC #190,Murray,Murray
SC #194,Murray,Murray
SC #193,Murray,Murray
SC #354,Herbert,Upper Herbert
SC #192,Murray,Murray
SC #359,Herbert,Upper Herbert
SC #355,Herbert,Upper Herbert
SC #264,Herbert,Upper Herbert
SC #262,Herbert,Upper Herbert
SC #197,Murray,Murray
SC #90503,Murray,Murray
SC #453,Herbert,Upper Herbert
SC #357,Herbert,Upper Herbert
SC #191,Murray,Murray
SC #480,Murray,Murray
SC #260,Herbert,Upper Herbert
SC #196,Murray,Murray
SC #195,Murray,Murray
SC #261,Herbert,Upper Herbert
SC #198,Murray,Murray
SC #254,Herbert,Upper Herbert
SC #467,Herbert,Upper Herbert
SC #258,Herbert,Upper Herbert
SC #481,Murray,Murray
SC #356,Herbert,Upper Herbert
SC #245,Herbert,Upper Herbert
SC #247,Herbert,Upper Herbert
SC #253,Herbert,Upper Herbert
SC #259,Herbert,Upper Herbert
SC #358,Herbert,Upper Herbert
SC #248,Herbert,Upper Herbert
SC #204,Murray,Murray
SC #199,Murray,Murray
SC #255,Herbert,Upper Herbert
SC #256,Herbert,Upper Herbert
