ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #224,Herbert,Lower Herbert
Outlet Node52,Tully,Tully
Node on catchment SC #277,Herbert,Upper Herbert
Node on catchment SC #272,Herbert,Upper Herbert
Node on catchment SC #270,Herbert,Upper Herbert
Node on catchment SC #273,Herbert,Upper Herbert
HE01,Herbert,Upper Herbert
Outlet Node45,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #329,Herbert,Upper Herbert
Outlet Node42,Mulgrave-Russell,Mulgrave-Russell
Outlet Node46,Mulgrave-Russell,Mulgrave-Russell
Outlet Node47,Mulgrave-Russell,Mulgrave-Russell
Outlet Node36,Daintree,Daintree
Outlet Node37,Daintree,Daintree
Outlet Node38,Mossman,Mossman
Outlet Node40,Mossman,Mossman
Outlet Node48,Johnstone,Johnstone
Node on catchment SC #342,Herbert,Upper Herbert
Node on catchment SC #339,Herbert,Upper Herbert
Node on catchment SC #343,Herbert,Upper Herbert
110002A,Barron,Barron
BR03,Barron,Barron
109002C,Mossman,Mossman
Node on catchment SC #40,Mossman,Mossman
110013A,Barron,Barron
110104A,Barron,Barron
TR01,Tully,Tully
112101B,Johnstone,Johnstone
108002A,Daintree,Daintree
HE05,Herbert,Lower Herbert
Node on catchment SC #478,Tully,Tully
Node on catchment SC #184,Tully,Tully
Node on catchment SC #185,Tully,Tully
113015A,Tully,Tully
Node on catchment SC #183,Tully,Tully
Node on catchment SC #313,Herbert,Upper Herbert
Node on catchment SC #369,Herbert,Lower Herbert
Node on catchment SC #344,Herbert,Upper Herbert
Node on catchment SC #337,Herbert,Upper Herbert
Node on catchment SC #99,Mulgrave-Russell,Mulgrave-Russell
MR04,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #101,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #97,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #33,Daintree,Daintree
Node on catchment SC #427,Barron,Barron
Node on catchment SC #428,Barron,Barron
Outlet Node58,Herbert,Lower Herbert
Outlet Node51,Johnstone,Johnstone
Node on catchment SC #237,Herbert,Upper Herbert
Outlet Node60,Herbert,Lower Herbert
Node on catchment SC #231,Herbert,Lower Herbert
